yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
2019,1,0,1,Central District,CentralDistrict1,Nonfiction,Adult,Politics,Politics,POL,English,English,Human Rights Watch
2007,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Religion,Religion,R,English,English,William P. Young
2006,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Dick Couch
1992,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Suspense,Suspense,SUS,English,English,James Grady
1989,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,,"Hollis Hodges, Loup Durand, Elliott Roosevelt Henry Denker"
1990,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,,Dick Francis
1975,1,0,1,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,,
2009,1,0,0,Central District,CentralDistrict2,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,English,Marc Benioff
2018,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Mary Alice Monroe
1998,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Michael Cunningham
2009,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Richard Wagamese
2009,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Romance,Romance,ROM,English,English,Lisa Kleypas
1988,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Romance,Romance,ROM,English,English,Isabel Allende
1991,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Romance,Romance,ROM,English,English,Sandra Brown
2010,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Romance,Romance,ROM,English,English,Cathleen Schine
2017,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Romance,Romance,ROM,English,English,Brenda Novak
1996,1,0,0,Central District,CentralDistrict2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Jim Petersen
2013,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Suspense,Suspense,SUS,English,English,J. A. Jance
2003,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Dan Brown
2011,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Nora Roberts
1999,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Adventure,Adventure,ADV,English,English,Jonathan Rabb
2008,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Carl Bernstein
2007,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,George Tenet
2018,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Alice Waters
2007,1,0,1,Central District,CentralDistrict3,Nonfiction,Adult,Crafts,Crafts,CR,,,
1993,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Michael Crichton
1991,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Jeremiah Healy
1986,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Peter Corris
1997,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Dean Koontz
2003,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Marty Wingate
1993,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Ronald Squibb
2004,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,NU,English,English,Harriet Ziefert
1997,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,NU,English,English,Mary Pope Osborne
2002,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,NU,English,English,Anne Capeci
2008,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,NU,English,English,Megan McDonald
1998,1,0,0,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Null,NU,English,English,Ingrid Roper
