grouping,combinedName,nonPersonAuthor,Sex,authorBirthYear
1,A. E. Van Vogt,0,male,1912
2,A. M. Homes,0,female,1961
3,Abigail Thomas,0,female,1941
4,Adam Gamble,0,male,
5,Adam Silvera,0,male,1990
6,Adolfo Bioy,0,male,1914
7,Adriana Trigiani,0,female,1969
8,Adriana Trigiani,0,female,1969
9,Agatha Christie,0,female,1890
10,akhen osei,0,null,
11,Akhil Sharma,0,male,1971
12,Alan Brennert,0,male,1954
13,Alan Davidson,0,male,1924
14,Alan Ebert,0,male,
15,Alan Furst,0,male,1941
16,Alan Furst,0,male,1941
17,Alastair Reynolds,0,male,1966
18,Albert Hofstadter,0,male,1910
19,Alex Counts,0,male,
20,Alex Kava,0,female,1960
21,Alexander Maksik,0,male,1948
22,Alexander McCall Smith,0,male,1948
23,Alexander McCall Smith,0,male,1948
24,Alfred Uhry,0,male,1936
25,Alice Waters,0,female,1944
26,aliki,0,female,1929
27,Alma Lutz,0,female,1890
28,Alvin Toffler,0,male,1928
29,American Heritage Editors,1,null,
30,American Water Works Association,1,null,
31,Amy Hempel,0,female,1951
32,Amy Minato,0,female,
33,Amy Tan,0,female,1952
34,Ana María Shua,0,female,1951
35,Andrea Zimmerman,0,female,
36,Andrew Clements,0,male,1949
37,Andrew Miller,0,male,1961
38,Angela C. Santomero,0,female,1968
39,Anita Diamant,0,female,1951
40,Ann M. Martin,0,female,1955
41,Ann McGovern,0,female,1930
42,Ann Patchett,0,female,1963
43,Ann Rinaldi,0,female,1934
44,Ann Weil,0,female,1908
45,Anna Milbourne,0,female,1972
46,Anne Capeci,0,female,
47,Anne Lindsay Greer,0,female,1940
48,Anne Mazer,0,female,1953
49,Anne Millard,0,female,
50,Anne Rice,0,female,1941
51,Anne Rivers Siddons,0,female,1936
52,Anne Wilson,0,female,
53,Anne Wilson,0,female,
54,Anne Wilson,0,female,
55,Anne Wilson,0,female,
56,Anonymous,0,null,
57,Anthony Horowitz,0,male,1955
58,Anthony Horowitz,0,male,1955
59,Antonio J. Hopson,0,male,1968
60,Antonio Tabucchi,0,male,1943
61,Apple Jordan,0,female,
62,Aprilynne Pike,0,female,1981
63,Arnold Bennett,0,male,1867
64,Arthur Bloch,0,male,1948
65,Arthur Krystal,0,male,1947
66,Arthur L. Farnham,0,male,
67,Atkins Health & Medical Information Service,1,null,
68,Atul Kohli,0,male,1949
69,Audrey Niffenegger,0,female,1963
70,August Wilson,0,male,1945
71,Augusta Stevenson,0,female,1869
72,Avi,0,male,1937
73,Bailey White,0,female,1950
74,Barbara Bazaldua,0,female,
75,Barbara Brooks Wallace,0,female,1922
76,Barbara Gardner,0,female,
77,Barbara Kingsolver,0,female,1955
78,Barbara Kingsolver,0,female,1955
79,Barbara Taylor Bradford,0,female,1933
80,Barbara Taylor Bradford,0,female,1933
81,Barbara W. Tuchman,0,female,1912
82,Béatrice Fontanel,0,female,1957
83,Beatrice Trum Hunter,0,female,1918
84,Béla Zombory-Moldován,0,male,1885
85,Belva Plain,0,female,1915
86,Benjamin Elkin,0,male,1911
87,Benjamin Hoff,0,male,1946
88,Bernard Cornwell,0,female,1944
89,Bernard Cornwell,0,male,1944
90,Bernard LeGette,0,male,
91,Bernard Palmer,0,male,1914
92,Bernie S. Siegel,0,male,1932
93,Berry Stainback,0,male,
94,Beth Kephart,0,female,1961
95,Beth Shulman,0,female,1949
96,Betsy Duffey,0,female,
97,Better Homes and Gardens,1,null,
98,Betty MacDonald,0,female,1958
99,Beverly Cleary,0,female,1916
100,Beverly Cleary,0,female,1916
101,Beverly Cleary,0,female,1916
102,Bill Bryson,0,male,1951
103,Bill Bryson,0,male,1951
104,Bill Henderson,0,male,1941
105,Bill Morgan,0,male,1949
106,Bill Peet,0,male,1915
107,Bin Ramke,0,male,1947
