index,collection,width,length,height,volMeters,adjPrice,specific,current,variety,kids,religion,porn,vol,neighborhood,count,bkPerVol,medianVol,median
15,Laurelhurst5,15,15,15,0.055306,722576.8014,n,n,n,n,n,y,1.953125,Laurelhurst,22,11.264,7.132591093,7.132591093
16,Laurelhurst6,16,12,14,0.044048,1728652.635,n,n,n,n,n,n,1.555555556,Laurelhurst,7,4.5,7.132591093,7.132591093
14,Laurelhurst4,19,13,15,0.060714,295073.3674,n,n,n,n,n,n,2.144097222,Laurelhurst,15,6.995951417,7.132591093,7.132591093
13,Laurelhurst3,18,12,19,0.067252,1162687.846,n,n,n,n,n,y,2.375,Laurelhurst,19,8,7.132591093,7.132591093
12,Laurelhurst2,22,13,23,0.107794,922601.4158,n,n,n,n,n,n,3.806712963,Laurelhurst,14,3.677713591,7.132591093,7.132591093
11,Laurelhurst1,16,13,16,0.054536,297957.7826,y,n,n,y,n,n,1.925925926,Laurelhurst,14,7.269230769,7.132591093,7.132591093
10,ColumbiaCity5,15,8.5,17,0.035519,342103.2987,n,n,n,n,n,n,1.254340278,Columbia City,7,5.580622837,7.233908948,7.233908948
8,ColumbiaCity3,21,12,19,0.078461,162493.3477,n,n,n,n,n,n,2.770833333,Columbia City,28,10.10526316,7.233908948,7.233908948
9,ColumbiaCity4,16.5,11,15,0.044614,520487.1418,n,n,n,n,y,y,1.575520833,Columbia City,22,13.96363636,7.233908948,7.233908948
6,ColumbiaCity1,15.5,10.75,21,0.05734,239776.6772,n,n,n,n,n,n,2.024956597,Columbia City,13,6.419890687,7.233908948,7.233908948
7,ColumbiaCity2,19.5,14,14,0.062631,381865.1842,n,n,n,n,n,n,2.211805556,Columbia City,16,7.233908948,7.233908948,7.233908948
34,QueenAnne4,16,13,20,0.06817,618766.6962,n,n,n,n,y,n,2.407407407,Queen Anne,26,10.8,9.047966339,9.047966339
32,QueenAnne2,15.5,11.5,15,0.043815,,n,y,n,n,n,n,1.547309028,Queen Anne,14,9.047966339,9.047966339,9.047966339
31,QueenAnne1,18,16,25,0.117987,314330.3793,n,n,y,n,n,n,4.166666667,Queen Anne,19,4.56,9.047966339,9.047966339
33,QueenAnne3,16,16.5,20,0.086524,981749.8587,n,n,n,n,n,n,3.055555556,Queen Anne,24,7.854545455,9.047966339,9.047966339
35,QueenAnne5,13.5,11,15,0.036502,248329.6411,n,n,n,n,n,y,1.2890625,Queen Anne,24,18.61818182,9.047966339,9.047966339
26,Phinney-Green1,14,11,16,0.040378,213879.8019,y,y,n,n,n,n,1.425925926,Phinney-Greenwood,14,9.818181818,9.376533501,9.376533501
27,Phinney-Green2,22,14,19,0.095897,421056.4828,n,n,n,n,n,n,3.386574074,Phinney-Greenwood,29,8.563226247,9.376533501,9.376533501
28,Phinney-Green3,22,17,34,0.208378,453189.7407,n,n,n,n,n,n,7.358796296,Phinney-Greenwood,69,9.376533501,9.376533501,9.376533501
30,Phinney-Green5,15,13,19,0.060714,656713.1923,n,n,n,n,n,n,2.144097222,Phinney-Greenwood,18,8.3951417,9.376533501,9.376533501
29,Phinney-Green4,22,15,25,0.135193,445509.3815,n,n,n,n,y,n,4.774305556,Phinney-Greenwood,61,12.77672727,9.376533501,9.376533501
5,CentralDistrict6,16.5,9,20,0.04867,479452.9534,n,y,n,n,n,n,1.71875,Central District,10,5.818181818,9.520661157,9.520661157
4,CentralDistrict5,13,14.5,12,0.037067,827225.2702,n,n,y,y,n,n,1.309027778,Central District,7,5.347480106,9.520661157,9.520661157
3,CentralDistrict4,16,13.5,21,0.074332,437730.5987,n,n,n,n,y,n,2.625,Central District,26,9.904761905,9.520661157,9.520661157
2,CentralDistrict3,23,11,14,0.058043,124155.9225,n,n,n,n,n,n,2.049768519,Central District,30,14.63579898,9.520661157,9.520661157
1,CentralDistrict2,22,11,12,0.047588,536554.0424,n,n,n,n,n,n,1.680555556,Central District,16,9.520661157,9.520661157,9.520661157
0,CentralDistrict1,0,0,0,0,0,n,n,n,n,n,n,0,Central District,4,,9.520661157,9.520661157
36,Ravenna1,16.5,11,22,0.065433,769793.5977,n,n,y,y,n,n,2.310763889,Ravenna,19,8.222389181,9.926579206,9.926579206
38,Ravenna3,17,17,21,0.099453,951033.2598,n,n,n,y,y,n,3.512152778,Ravenna,21,5.979238754,9.926579206,9.926579206
39,Ravenna4,13,15,11,0.03515,490003.6917,n,n,y,n,y,n,1.241319444,Ravenna,15,12.08391608,9.926579206,9.926579206
37,Ravenna2,23,12,14,0.06332,413658.5366,n,n,n,n,n,n,2.236111111,Ravenna,35,15.65217391,9.926579206,9.926579206
41,Ravenna6,19,13,14,0.056666,388601.1123,n,n,n,n,y,n,2.001157407,Ravenna,13,6.496240602,9.926579206,9.926579206
40,Ravenna5,13,15,16,0.051128,731378.0587,n,n,n,n,n,n,1.805555556,Ravenna,21,11.63076923,9.926579206,9.926579206
