cat,code
Adventure,ADV
Anthology/Essays/Short stories,AN
Art,ART
Black Humour,BH
Biography/Autobiography/Memoir,BIO
Business/Technology,BU
Canadian Fiction,CAF
Classics,CL
Cookery,CO
Coming of Age,COA
Comedy,COM
Crafts,CR
Cultural Studies,CS
Domestic Fiction,DF
Drama,DR
Experimental Fiction,EF
Graphic/Manga,GR
History,H
Historical Fiction,HF
Humorous Works,HW
Juvenile Works,JW
Legal Fiction,LEF
Literary Fiction,LITF
Love Stories,LOV
Music,MU
Mystery,MYS
Nature/Gardening,NA
Null,NU
Poetry,P
Religion,R
Religious,R
Reference,REF
Romance,ROM
Sports,S
Science,SCI
SciFi/Fantasy,SCI
SciFi/Fantasy,SCIFIFAN
Self Help/Health,SH
Thriller/Suspense,TH
Travel,TR
Thriller/Suspense,TR
Western,WS
