neighborhood,lflname,Adventure,Anthology/Essays/Short stories,Art,Biography/Autobiography/Memoir,Business/Technology,Childrens,Classics,Comedy,Cookery,Crafts,Domestic Fiction,Drama,Graphic/Manga,Historical Fiction,History,Literary Fiction,Music,Mystery,Nature/Gardening,Poetry,Politics,Reference,Religion,Romance,SCiFi/Fantasy,SciFi/Fantasy,Science,Self Help/Health,Sports,Suspense,Travel,Western
Central District,CentralDistrict2,0.0,63.04110279902497,0.0,0.0,21.013700933008323,0.0,0.0,0.0,0.0,0.0,21.013700933008323,0.0,0.0,0.0,0.0,42.027401866016646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.06850466504162,0.0,0.0,0.0,21.013700933008323,0.0,63.04110279902497,0.0,0.0
Central District,CentralDistrict3,17.228606378030083,0.0,0.0,51.685819134090245,0.0,223.97188291439107,0.0,0.0,0.0,17.228606378030083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91442551212033,34.457212756060166,0.0,17.228606378030083,0.0,17.228606378030083,0.0,0.0,0.0,0.0,0.0,0.0,51.685819134090245,0.0,17.228606378030083
Central District,CentralDistrict4,0.0,13.453156110423503,0.0,13.453156110423503,13.453156110423503,107.62524888338802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.906312220847006,0.0,0.0,13.453156110423503,0.0,0.0,0.0,0.0,13.453156110423503,26.906312220847006,0.0,40.35946833127051,0.0,26.906312220847006,13.453156110423503,40.35946833127051,0.0,0.0
Central District,CentralDistrict5,0.0,26.978174656702727,0.0,53.956349313405454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.978174656702727,53.956349313405454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.978174656702727,0.0,0.0,0.0,0.0
Central District,CentralDistrict6,0.0,0.0,20.546537908362442,20.546537908362442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.546537908362442,0.0,0.0,0.0,41.093075816724884,0.0,0.0,20.546537908362442,0.0,20.546537908362442,20.546537908362442,0.0,0.0,0.0,20.546537908362442,0.0,20.546537908362442,0.0,0.0
Columbia City,ColumbiaCity1,0.0,0.0,17.439832577607255,17.439832577607255,0.0,17.439832577607255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.439832577607255,17.439832577607255,0.0,0.0,17.439832577607255,0.0,0.0,17.439832577607255,0.0,17.439832577607255,17.439832577607255,0.0,17.439832577607255,0.0,17.439832577607255,0.0,34.87966515521451,0.0,0.0
Columbia City,ColumbiaCity2,0.0,15.96653414443327,0.0,15.96653414443327,0.0,0.0,0.0,0.0,31.93306828886654,0.0,15.96653414443327,0.0,0.0,15.96653414443327,0.0,15.96653414443327,0.0,0.0,0.0,0.0,0.0,15.96653414443327,0.0,31.93306828886654,0.0,15.96653414443327,0.0,63.86613657773308,0.0,15.96653414443327,0.0,0.0
Columbia City,ColumbiaCity3,0.0,25.490371012350085,0.0,0.0,0.0,101.96148404940034,25.490371012350085,25.490371012350085,12.745185506175043,0.0,12.745185506175043,12.745185506175043,0.0,25.490371012350085,25.490371012350085,0.0,0.0,25.490371012350085,0.0,0.0,0.0,0.0,12.745185506175043,0.0,0.0,12.745185506175043,0.0,0.0,0.0,38.23555651852512,0.0,0.0
Columbia City,ColumbiaCity4,0.0,22.41448872551217,44.82897745102434,44.82897745102434,44.82897745102434,134.48693235307303,0.0,22.41448872551217,0.0,0.0,22.41448872551217,0.0,0.0,0.0,0.0,0.0,22.41448872551217,0.0,0.0,0.0,0.0,0.0,0.0,67.24346617653651,0.0,67.24346617653651,0.0,0.0,0.0,0.0,0.0,0.0
Columbia City,ColumbiaCity5,0.0,0.0,0.0,56.30789155100087,0.0,0.0,0.0,0.0,28.153945775500436,0.0,0.0,0.0,0.0,0.0,28.153945775500436,0.0,0.0,0.0,0.0,0.0,28.153945775500436,0.0,0.0,0.0,0.0,0.0,0.0,28.153945775500436,0.0,28.153945775500436,0.0,0.0
