collection,width,length,height,volMeters,adjPrice,specific,current,variety,kids,religion,porn
CentralDistrict1,0,0,0,0,0,n,n,n,n,n,n
CentralDistrict2,22,11,12,0.047588,536554.0424,n,n,n,n,n,n
CentralDistrict3,23,11,14,0.058043,124155.9225,n,n,n,n,n,n
CentralDistrict4,16,13.5,21,0.074332,437730.5987,n,y,n,n,y,n
CentralDistrict5,13,14.5,12,0.037067,827225.2702,n,n,y,y,n,n
CentralDistrict6,16.5,9,20,0.04867,479452.9534,n,y,n,n,n,n
ColumbiaCity1,15.5,10.75,21,0.05734,239776.6772,n,n,n,n,n,n
ColumbiaCity2,19.5,14,14,0.062631,381865.1842,n,n,n,n,n,n
ColumbiaCity3,21,12,19,0.078461,162493.3477,n,n,n,n,n,n
ColumbiaCity4,16.5,11,15,0.044614,520487.1418,n,n,n,n,y,y
ColumbiaCity5,15,8.5,17,0.035519,342103.2987,n,n,n,n,n,n
Laurelhurst1,16,13,16,0.054536,297957.7826,y,n,y,y,n,n
Laurelhurst2,22,13,23,0.107794,922601.4158,n,n,n,n,n,n
Laurelhurst3,18,12,19,0.067252,1162687.846,n,n,n,n,n,y
Laurelhurst4,19,13,15,0.060714,295073.3674,n,n,n,n,n,n
Laurelhurst5,15,15,15,0.055306,722576.8014,n,n,n,n,n,y
Laurelhurst6,16,12,14,0.044048,1728652.635,n,n,n,n,n,n
Montlake2,10,18,20,0.058993,391824.2874,n,n,n,n,n,n
Montlake4,10,18,20,0.058993,,n,n,n,y,n,n
Montlake5,15,13,15,0.047932,714970.7298,y,n,n,y,n,n
Montlake6,14,10,17,0.039001,644307.4712,n,n,n,y,y,n
Northgate1,15,13,15,0.047932,,y,n,n,y,n,n
Northgate2,12,12,20,0.047195,335916.434,y,n,n,n,y,y
Northgate3,32,32,76,1.275305,,n,n,n,n,n,n
Northgate4,15,13,15,0.047932,480500.487,n,n,n,n,y,n
Northgate5,15,13,15,0.047932,659372.3849,n,n,y,n,n,n
Phinney-Green1,14,11,16,0.040378,213879.8019,y,y,n,n,n,n
Phinney-Green2,22,14,19,0.095897,421056.4828,n,n,n,n,n,n
Phinney-Green3,22,17,34,0.208378,453189.7407,n,n,y,y,n,n
Phinney-Green4,22,15,25,0.135193,445509.3815,n,n,n,n,y,n
Phinney-Green5,15,13,19,0.060714,656713.1923,n,n,n,n,n,n
QueenAnne1,18,16,25,0.117987,314330.3793,n,n,y,n,n,n
QueenAnne2,15.5,11.5,15,0.043815,,n,y,n,n,n,n
QueenAnne3,16,16.5,20,0.086524,981749.8587,n,n,n,n,n,n
QueenAnne4,16,13,20,0.06817,618766.6962,n,n,n,n,y,n
QueenAnne5,13.5,11,15,0.036502,248329.6411,n,n,n,n,n,y
Ravenna1,16.5,11,22,0.065433,769793.5977,n,n,y,y,n,n
Ravenna2,23,12,14,0.06332,413658.5366,n,n,n,n,n,n
Ravenna3,17,17,21,0.099453,951033.2598,n,n,n,y,y,n
Ravenna4,13,15,11,0.03515,490003.6917,n,n,y,n,y,n
Ravenna5,13,15,16,0.051128,731378.0587,n,n,n,n,n,n
Ravenna6,19,13,14,0.056666,388601.1123,n,n,n,n,y,n
