tract,sqkm,numlfls,lflsperarea,neighborhood,household_income,pop,lflperpop
25.0,984.2735772,6,0.006095866,Ravenna,113472,2802,0.0021413276231263384
26.0,1244.751088,4,0.0032134940000000003,Ravenna,115000,4660,0.0008583690987124463
56.0,2984.606709,1,0.00033505300000000003,Queen Anne,170031,6382,0.00015669069257286117
68.0,718.0698637999999,10,0.013926222,Queen Anne,116111,2834,0.0035285815102328866
60.0,1313.478957,3,0.002284011,Queen Anne,113670,5150,0.0005825242718446602
35.0,1284.685615,3,0.002335202,Phinney-Greenwood,91806,3936,0.0007621951219512195
34.0,787.1051712999999,3,0.003811435,Phinney-Greenwood,106172,3302,0.0009085402786190188
28.0,983.3278791000001,4,0.004067819,Phinney-Greenwood,124107,4481,0.0008926578888640928
29.0,986.1456241000001,5,0.005070245,Phinney-Greenwood,110202,4177,0.0011970313622216902
17.01,892.7108321000001,3,0.003360551,Phinney-Greenwood,69596,3818,0.000785751702462022
17.02,1280.139767,2,0.0015623289999999999,Phinney-Greenwood,79375,4234,0.0004723665564478035
20.0,1131.899351,6,0.005300825,Northgate,99726,3406,0.0017615971814445098
19.0,1663.14204,6,0.0036076290000000002,Northgate,84395,4157,0.0014433485686793362
12.0,1833.9246059999998,1,0.000545279,Northgate,45925,6494,0.0001539882968894364
41.0,3188.240449,7,0.0021955679999999997,Laurelhurst,175735,7789,0.0008987032995249711
42.0,2463.860293,10,0.004058672,Ravenna,127373,7618,0.0013126804935678655
43.01,979.3022936000001,2,0.00204227,Ravenna,95463,3531,0.0005664117813650524
43.02,330.69620710000004,0,0.0,Ravenna,30679,3518,0.0
40.0,2482.714356,4,0.00161114,Laurelhurst,80208,2690,0.001486988847583643
38.0,624.5683098999999,2,0.0032022120000000003,Ravenna,124792,2058,0.0009718172983479105
88.0,948.5430895999999,5,0.005271242,Central District,120608,3503,0.0014273479874393378
87.0,732.3597399,3,0.004096348,Central District,83090,3843,0.00078064012490242
79.0,698.4434553,1,0.001431755,Central District,78846,5147,0.00019428793471925395
77.0,1058.278808,3,0.002834792,Central District,113397,4476,0.0006702412868632708
62.0,2539.383281,7,0.002756575,Montlake,179922,3848,0.0018191268191268192
67.0,1233.161632,2,0.001621847,Queen Anne,112224,6544,0.0003056234718826406
61.0,1118.6523619999998,1,0.0008939330000000001,Montlake,109055,4796,0.0002085070892410342
111.01,1150.343954,0,0.0,Columbia City,53295,4390,0.0
103.0,1660.2038380000001,3,0.001807007,Columbia City,63493,5940,0.000505050505050505
101.0,2494.925767,6,0.002404881,Columbia City,87188,6553,0.0009156111704562796
71.0,862.0539568,0,0.0,Queen Anne,84112,3055,0.0
70.0,805.9203623999999,2,0.002481635,Queen Anne,74063,6959,0.00028739761459979884
69.0,902.8449863,2,0.00221522,Queen Anne,127702,4080,0.0004901960784313725
