tract,neighborhood
56,Queen Anne
60,Queen Anne
69,Queen Anne
68,Queen Anne
67,Queen Anne
70,Queen Anne
71,Queen Anne
79,Central District
77,Central District
87,Central District
88,Central District
62,Montlake
61,Montlake
26,Ravenna
25,Ravenna
38,Ravenna
42,Ravenna
43.01,Ravenna
43.02,Ravenna
12,Northgate
19,Northgate
20,Northgate
17.01,Phinney-Greenwood
17.02,Phinney-Greenwood
29,Phinney-Greenwood
28,Phinney-Greenwood
34,Phinney-Greenwood
35,Phinney-Greenwood
40,Laurelhurst
41,Laurelhurst
101,Columbia City
103,Columbia City
111.01,Columbia City
