tot,wh,afam,amin,as,hw,ot,combo1,combo2,combo3,tract,simpsons,gini-simp
7261,4437,1010,60,767,122,346,519,64,455,1.0,0.4156517147707316,0.5843482852292684
7902,4831,681,84,1396,0,281,629,28,601,2.0,0.4259144431971991,0.5740855568028009
2830,2208,112,31,194,112,0,173,24,149,3.0,0.6232634943625217,0.3767365056374783
6258,3772,997,38,1040,0,0,411,0,411,4.01,0.4249690852723535,0.5750309147276464
5165,4168,284,24,324,42,57,266,0,266,4.02,0.6636731144262569,0.33632688557374313
3154,2718,41,0,213,0,0,182,0,182,5.0,0.7540245419149482,0.24597545808505183
8039,5319,729,67,830,0,595,499,43,456,6.0,0.4693099804951668,0.5306900195048332
4651,2935,565,15,789,76,151,120,39,81,7.0,0.44412645068249296,0.5558735493175071
2474,2122,34,18,175,0,0,125,0,125,8.0,0.7460350784782597,0.2539649215217403
1823,1473,21,37,195,23,20,54,0,54,9.0,0.6668990641612672,0.3331009358387328
1968,1272,377,0,182,0,0,137,7,130,10.0,0.47222919351906933,0.5277708064809307
2729,1950,122,0,373,0,50,234,7,227,11.0,0.5458716624945402,0.4541283375054598
6950,4335,525,30,1286,0,381,393,33,360,12.0,0.437924434553077,0.5620755654469229
4363,2875,235,0,967,0,32,254,0,254,13.0,0.4930714908339138,0.5069285091660862
5703,4519,0,53,499,0,99,533,0,533,14.0,0.6533948296790246,0.3466051703209754
2506,2354,0,6,90,0,0,56,0,56,15.0,0.884664355427262,0.11533564457273804
4400,3724,29,11,229,0,98,309,0,309,16.0,0.7294496384297521,0.2705503615702479
3988,2893,189,25,406,1,137,337,78,259,17.01,0.5518143573146723,0.4481856426853277
4493,3553,81,39,405,0,83,332,8,324,17.02,0.6448723139276078,0.3551276860723922
5280,3871,37,71,623,31,193,454,71,383,18.0,0.5658587293388431,0.43414127066115693
4789,3504,214,5,805,12,35,214,15,199,19.0,0.5693972418259793,0.4306027581740207
3647,3120,5,0,298,0,65,159,0,159,20.0,0.7426739632749146,0.25732603672508536
4103,3179,21,5,651,0,112,135,0,135,21.0,0.6284257626654708,0.3715742373345292
5619,4492,5,21,642,17,33,409,14,395,22.0,0.6624478936397908,0.33755210636020916
3005,2261,29,0,343,20,78,274,37,237,24.0,0.5946505131491884,0.4053494868508116
