neighborhood,isbn,yrpub,splhood
Columbia City,1101904429,2019,Queen Anne
Columbia City,1101904429,2019,Northgate
Columbia City,1101904429,2019,Montlake
Northgate,1487001835,2018,Northgate
Montlake,1631494139,2018,Phinney-Greenwood
Montlake,1631494139,2018,Laurelhurst
Montlake,1631494139,2018,Ravenna
Queen Anne,1481404121,2018,Phinney-Greenwood
Queen Anne,1481404121,2018,Laurelhurst
Queen Anne,1481404121,2018,Northgate
Queen Anne,1481404121,2018,Ravenna
Columbia City,1501197843,2019,Phinney-Greenwood
Phinney-Greenwood,1594634629,2015,Central District
Columbia City,1616205776,2018,Phinney-Greenwood
Columbia City,1616205776,2018,Laurelhurst
Columbia City,1616205776,2018,Ravenna
Columbia City,1933821248,2007,Phinney-Greenwood
Northgate,1681370824,2017,Queen Anne
Northgate,1609451198,2013,Phinney-Greenwood
Northgate,1609451198,2013,Ravenna
Northgate,1481491539,2018,Laurelhurst
Northgate,1481491539,2018,Ravenna
Phinney-Greenwood,1641290110,2018,Phinney-Greenwood
Phinney-Greenwood,1641290110,2018,Queen Anne
Phinney-Greenwood,1641290110,2018,Laurelhurst
Phinney-Greenwood,1641290110,2018,Ravenna
Phinney-Greenwood,1641290110,2018,Montlake
Queen Anne,144248845X,2014,Central District
Queen Anne,144248845X,2014,Phinney-Greenwood
Queen Anne,144248845X,2014,Queen Anne
Queen Anne,144248845X,2014,Laurelhurst
Queen Anne,144248845X,2014,Northgate
Queen Anne,144248845X,2014,Columbia City
Queen Anne,144248845X,2014,Ravenna
Northgate,1472906500,2014,Northgate
Ravenna,067989067X,2000,Central District
Ravenna,067989067X,2000,Phinney-Greenwood
Ravenna,067989067X,2000,Queen Anne
Ravenna,067989067X,2000,Laurelhurst
Ravenna,067989067X,2000,Columbia City
Ravenna,067989067X,2000,Central District
Ravenna,067989067X,2000,Montlake
Northgate,1484715578,2015,Central District
Ravenna,1603093680,2015,Phinney-Greenwood
Ravenna,1603093680,2015,Laurelhurst
Ravenna,1603093680,2015,Columbia City
Ravenna,1603093680,2015,Ravenna
Ravenna,1338068474,2018,Phinney-Greenwood
Ravenna,1338068474,2018,Laurelhurst
Ravenna,1338068474,2018,Ravenna
Ravenna,1338068474,2018,Montlake
Queen Anne,1595722076,2009,Laurelhurst
Queen Anne,1595722076,2009,Ravenna
Phinney-Greenwood,198480183X,2018,Central District
Phinney-Greenwood,198480183X,2018,Phinney-Greenwood
Phinney-Greenwood,198480183X,2018,Queen Anne
Phinney-Greenwood,198480183X,2018,Laurelhurst
Phinney-Greenwood,198480183X,2018,Northgate
Phinney-Greenwood,198480183X,2018,Columbia City
Phinney-Greenwood,198480183X,2018,Central District
Phinney-Greenwood,198480183X,2018,Ravenna
Phinney-Greenwood,198480183X,2018,Montlake
Phinney-Greenwood,006243375X,2016,Columbia City
Northgate,1568585403,2016,Phinney-Greenwood
Northgate,1568585403,2016,Laurelhurst
Northgate,1568585403,2016,Ravenna
Columbia City,1476743681,2018,Laurelhurst
Columbia City,1476743681,2018,Ravenna
Laurelhurst,1335474625,2018,Laurelhurst
Laurelhurst,1335474625,2018,Ravenna
Phinney-Greenwood,037378970X,2017,Northgate
Ravenna,1250060761,2017,Queen Anne
Northgate,1616955600,2015,Queen Anne
Ravenna,1606840355,2010,Laurelhurst
Ravenna,1606840355,2010,Ravenna
Columbia City,1501187597,2018,Central District
Columbia City,1501187597,2018,Phinney-Greenwood
Columbia City,1501187597,2018,Laurelhurst
Columbia City,1501187597,2018,Northgate
Columbia City,1501187597,2018,Central District
Columbia City,1501187597,2018,Ravenna
Columbia City,1501187597,2018,Montlake
Columbia City,1982122102,2019,Ravenna
