Cataloger,Book ID,Title,Count,Date,Neighborhood,Collections,Fiction or Nonfiction,Age Group,Category1,Category2,Dewey Wording,Subjects,Dewey Decimal,Summary,Languages,Original Languages,LC Classification,ISBN,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Review,Rating,Comment,Private Comment,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,ISBNs,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
H,168221551,Micro Fiction: An Anthology of Fifty Really Short Stories,1,1996,Columbia City,Cc2,Fiction,Adult,Anthology/Essays/Short stories,Null,Anthologies > Anthologies and rhetoric > By Topic > Fiction > Literature,Short Stories|Short stories|short stories,808.831,Micro Fiction: An Anthology of Fifty Really Short Stories by Jerome Stern (1996),English,English,PN6120.2 .M48,[9780393314328],1,Instant Maxwell House Coffee,Author,,,Instant Maxwell House Coffee (1964),,,,,Paperback,,,,,,,,,,,,,,,,,1,amazon.com books,2019-05-08,,,13348949,,,,
H,168224286,The Moth Presents Occasional Magic: True Stories About Defying the Impossible,1,2019,Columbia City,Cc3,Nonfiction,Adult,Anthology/Essays/Short stories,Null,,,,The Moth Presents Occasional Magic: True Stories About Defying the Impossible by Catherine Burns (2019),English,English,,[1101904429],1,"Stamper, Norm",Author,,,"Bold Type Books (2016), 336 pages",,,,,Hardcover,336 p.; 6.5 inches,1.27 pounds,6.5 inches,9.5 inches,1 inch,6.5 x 1 x 9.5 inches,336 ,,,,,,,,"[1568585403, 9781568585406]",,1,amazon.com all media,2019-04-22,,,17609910,,,,
H,168224267,Touchstone Anthology of Contemporary Creative Nonfiction: Work from 1970 to the Present,1,2007,Columbia City,Cc3,Nonfiction,Adult,Anthology/Essays/Short stories,Null,1950-1999 > 20th Century > American And Canadian > Essays > Literature,,814.5408,Touchstone Anthology of Contemporary Creative Nonfiction: Work from 1970 to the Present by Lex Williford (2007),English,English,PS688 .T68,[1416531742],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,168741203,"Reader's Digest Condensed Books Volume 2 1990: Straight, No Roof But Heaven, The Evening News, The Courtship of Peggy McCoy",1,1990,Central District,CD2,Fiction,Adult,Anthology/Essays/Short stories,Null,,,,"Reader's Digest Condensed Books Volume 2 1990: Straight, No Roof But Heaven, The Evening News, The Courtship of Peggy McCoy by Dick Francis (1990)",English,,,,5,"Banner, Catherine",Author,,,"Random House Trade Paperbacks (2017), Edition: Reprint, 448 pages",,,,,Paperback,448 p.; 5.17 inches,0.7 pounds,5.17 inches,7.98 inches,0.92 inches,5.17 x 0.92 x 7.98 inches,448 ,,,,,,,,"[0812988132, 9780812988130]",,1,amazon.com books,2019-04-22,,,17549594,,,,
H,168741220,"Reader's Digest Condensed Books Volume 1 1989 (A Gift of Life, Daddy, Norman Rockwell's Greatest Painting, Murder in the Oval Office) - Hardcover (1989) by various",1,1989,Central District,CD2,Fiction,Adult,Anthology/Essays/Short stories,Null,,,,"Reader's Digest Condensed Books Volume 1 1989 (A Gift of Life, Daddy, Norman Rockwell's Greatest Painting, Murder in the Oval Office) - Hardcover (1989) by various by Hollis Hodges & Elliott Roosevelt Henry Denker Loup Durand (1989)",English,,,,1,"Robinson, Peter",Author,,,"William Morrow Paperbacks (2017), Edition: Reprint, 464 pages",,,,,Paperback,464 p.; 5.31 inches,,5.31 inches,8 inches,1.05 inches,5.31 x 1.05 x 8 inches,464 ,,,,,,,,"[006239505X, 9780062395054]",,1,amazon.com books,2019-04-22,,,16699825,,,,
H,168741285,"Reader's Digest Today's Nonfiction Best Sellers: A Bag Of Marbles, The Glory And The Dream, The Bermuda Triangle, Among The Elephants.",1,1975,Central District,CD2,Fiction,Adult,Anthology/Essays/Short stories,Null,,,,"Reader's Digest Today's Nonfiction Best Sellers: A Bag Of Marbles, The Glory And The Dream, The Bermuda Triangle, Among The Elephants. (1975)",English,,,,1,"Kennedy, Louise",Author,,,"Adlard Coles (2014), 96 pages",,,,,Hardcover,96 p.; 6.79 inches,0.69 pounds,6.79 inches,6.79 inches,0.47 inches,6.79 x 0.47 x 6.79 inches,96 ,,,,,,,,"[1472906500, 9781472906502]",,1,amazon.com books,2019-04-22,,,14943940,,,,
H,168636446,Golden handcuffs review. vol. 1 no. 5. 2005,1,2012,Central District,CD5,Fiction,Adult,Anthology/Essays/Short stories,Null,,,,Golden handcuffs review. vol. 1 no. 5. 2005 (2012),,,,,5,"Myers, Paul",Author,,,"House of Anansi Press (2018), 344 pages",,,,,Paperback,344 p.; 5.5 inches,0.95 pounds,5.5 inches,8.5 inches,0.5 inches,5.5 x 0.5 x 8.5 inches,344 ,,,,,,,,"[1487001835, 9781487001834]",,1,amazon.com books,2019-04-22,,,21953540,,,,
H,168002636,Hemingway: The 1930s,1,1997,Northgate,Northgate1,Fiction,Adult,Anthology/Essays/Short stories,Null,1900-1944 > 20th Century > American And Canadian > Fiction > Literature,,813.52,Hemingway: The 1930s by Michael S. Reynolds (1997),English,English,PS3515 .E37,[0393040933],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,168080754,Message from the Shadows: Selected Stories,1,2019,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Null,,,,Message from the Shadows: Selected Stories by Antonio Tabucchi (2019),English,English,,[1939810159],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,168007619,New Monologues for Women by Women,1,2004,Northgate,Northgate3,Fiction,Adult,Anthology/Essays/Short stories,Null,Anthologies > Anthologies and rhetoric > By Topic > Literature > Plays,,808.824508,New Monologues for Women by Women by Tori Haring-Smith (2004),English,English,PN2080 .N49,[0325006261],5,"Tan, Amy",Author,,,"Penguin Books (2004), Edition: Reprint, 416 pages",,,,,Paperback,416 p.; 5.4 inches,0.78 pounds,5.4 inches,8 inches,0.9 inches,5.4 x 0.9 x 8 inches,416 ,,,,,,,,"[0142004898, 9780142004890]",,1,amazon.com books,2019-04-22,,,2089715,,,,
A,167999133,"The Pushcart Prize, IX: Best of the Small Presses",1,1985,Northgate,Northgate5,Fiction,Adult,Anthology/Essays/Short stories,Null,American > American And Canadian > Anthologies and Collections > Literature,,810.8,"The Pushcart Prize, IX: Best of the Small Presses by Bill Henderson (1985)",English,English,PS536.2,[038069915X],1,"Thoreau, Henry David",,,,"New York, W. W. Norton [1966]",,,,,Paper Book,"vi, 424 p.; 21 cm",,21 cm,,,21 cm,vi; 424 ,66011310,,,,,,,,,1,Washington State University,2019-04-22,,,14579603,,,,
A,168464730,Denver Quarterly Vol 46 No 4 2012,1,2012,Phinney-Green,Phinney-Green4,Nonfiction,Adult,Anthology/Essays/Short stories,Null,,,,Denver Quarterly Vol 46 No 4 2012 by Bin Ramke (2012),English,,,,5,"Macdonald, Ross",Author,,,"Fontana (1978), Edition: paperback / softback, 192 pages",,,,,Paperback,192 p.; 7 inches,0.2 pounds,7 inches,0.5 inches,4.3 inches,7 x 4.3 x 0.5 inches,192 ,,,,,,,,"[0006151833, 9780006151838]",,1,amazon.com books,2019-04-22,,,247678,,,,
A,168464746,Swan Sister: Fairy Tales Retold,1,2005,Phinney-Green,Phinney-Green4,Fiction,Young Adult,Anthology/Essays/Short stories,Null,"Customs, Etiquette, Folklore > Folklore > Social Sciences",Fairy tales|fairy tales,398,Swan Sister: Fairy Tales Retold by Ellen Datlow (2005),English,English,PZ8 .M9867,[0689878370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,167760706,"A Company of Readers: Uncollected Writings of W. H. Auden, Jacques Barzun, and Lionel Trilling from The Reader's Subscription and Mid-Century Book Clubs",1,2001,Queen Anne,Queen Anne 3,Fiction,Adult,Anthology/Essays/Short stories,Null,American Anthologies > Information > Quotations,,081,"A Company of Readers: Uncollected Writings of W. H. Auden, Jacques Barzun, and Lionel Trilling from The Reader's Subscription and Mid-Century Book Clubs by Arthur Krystal (2001)",English,English,AC5 .C7317,[0743202627],1,,,,,"Na Lima Kokua/National Tropical Botanical Garden (1992), 50 pages",,,,,Paperback,,,,,,,50 ,,,,,,,,,,1,amazon.com books,2019-05-08,,,23221192,,,,
A,168434084,Sleeping at the Starlite Motel: and Other Adventures on the Way Back Home,1,1996,Sandy Point,Sandy Point 5,Fiction,Adult,Anthology/Essays/Short stories,Null,1950-1999 > 20th Century > American And Canadian > Essays > Literature,,814.54,Sleeping at the Starlite Motel: and Other Adventures on the Way Back Home by Bailey White (1996),English,English,PN6162 .W467,[0679770151],1,"Marks, Leo",Author,,,"Free Press (1999), Edition: 1st Edition, 624 pages",,,,,Hardcover,613 p.; 6.5 inches,0.01 pounds,6.5 inches,8.5 inches,1.5 inches,6.5 x 1.5 x 8.5 inches,613 ,,,,,,,,"[0684864223, 9780684864228]",,1,amazon.com,2019-05-05,,,21834,,,,
H,168225773,Legends of Glory and Other Stories,1,2007,Columbia City,Cc 4,Fiction,Adult,Anthology/Essays/Short stories/Essays/Short stories,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature [ShortStories],,813.54,Legends of Glory and Other Stories by Harry Mark Petrakis (2007),English,English,PS3566 .E78,[0809327589],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,168312370,La renaissance italienne. la grammaire des styles. collection de precis sur l'histoire de l'art,1,1946,Columbia City,Cc 4,Nonfiction,Adult,Art,Null,[In French],,,La renaissance italienne. la grammaire des styles. collection de precis sur l'histoire de l'art by Par H.Martin (1946),,,,,1,"Wilson, August",Author,,,"Plume (1985), Edition: Reissue, 112 pages",,,,,Paperback,112 p.; 5.3 inches,0.23 pounds,5.3 inches,7.9 inches,0.3 inches,5.3 x 0.3 x 7.9 inches,112 ,,,,,,,,"[0452261139, 9780452261136]",,1,amazon.com books,2019-04-22,,,162357,,,,
