group,answer,count
source,Donations to Owner for LFL,16
source,Neighborhood Adds Books,18
source,Owner Personal Collection,27
source,Owner Purchases,15
source,New Book Vendor,2
source,Used Book Vendor,11
stocking,Put out whatever,13
stocking,Takes from personal collection,6
stocking,Want to get rid of,5
stocking,Chooses Specific Genre,10
stocking,Owner does not want,6
stocking,Owner Likes,6
stocking,Researches titles,1
stocking,Topical-current,1
stocking,Users might like,5
stocking,Want a variety of genres,7
removes,Damaged,1
removes,Inappropriate,17
removes,Religious,11
removes,Sexual,6
removes,Intentionally-does-not-remove,4
removes,Non-book-items,5
removes,Specific Category,8
removes,Stale-stagnant-outdated,15
expectations,High circulation,1
expectations,Low circulation,0
expectations,No expectations,6
expectations,Not a lot of work,2
expectations,Others would stock,2
expectations,Owner would stock,11
use,Others would use,20
use,Kids would use,3
use,Owner would use,1
use,Vandalism and theft worries,1
general,Connection-interest to libraries,8
general,Connection-interest writing-teaching-publishing,5
general,Connection to other book movements-orgs,5
general,Observes use,0
general,Owner derives pleasure,6
general,Owner stamps,2
general,Owner stocks non book items,5
general,Owner using LFL network,41
general,Weird but important comments,21
observedUse,Bus Commuters,0
observedUse,Connection to other LFLs,3
observedUse,Other,12
observedUse,Someone takes to sell,8
observedUse,Vandalism,6
relationship,Complements-same mission,18
relationship,Convience vs. inconvience,8
relationship,Has not thought about,2
relationship,No relationship,6
relationship,Other,6
relationship,Serendipty vs. goal minded,9
unexpected,Acts of vandalism and theft,6
unexpected,Contributions,9
unexpected,Less from others,2
unexpected,More from others,7
unexpected,Different users,5
unexpected,More circulation,6
unexpected,More Work,3
unexpected,Unexpected books,6
unexpected,Unexpected non book items,12
unexpected,User Interaction,5
impetus,Build community,9
impetus,Fun-novelty-cool,10
impetus,Get rid or recycle,11
impetus,Gift-donation-contest,12
impetus,Loves books,12
impetus,Other Reason,12
impetus,Promote books-literacy,4
impetus,Saw or heard about others,18
