nonperson,author,authorOfColor-manual,auto find,checkedRandomly,,
0,A. E. Van Vogt,0,n,1,,0.076738609
0,A. M. Homes,0,n,1,,
0,Abigail Thomas,0,n,1,,
0,Adam Gamble,0,n,1,,
0,Adolfo Bioy,1,n,1,,
0,Agatha Christie,0,n,1,,
0,akhen osei,0,n,1,,
0,Akhil Sharma,1,n,1,,
0,Alan Brennert,0,n,1,,
0,Alan Davidson,0,n,1,,
0,Alan Ebert,0,n,1,,
0,Alastair Reynolds,0,n,1,,
0,Albert Hofstadter,0,n,1,,
0,Alex Counts,0,n,1,,
0,Alex Kava,0,n,1,,
0,Alexander Maksik,0,n,1,,
0,Alfred Uhry,1,n,1,,
0,Alice Waters,0,n,1,,
0,aliki,1,n,1,,
0,Alma Lutz,0,n,1,,
0,Alvin Toffler,0,n,1,,
1,American Heritage Editors,0,n,1,,
1,American Water Works Association,0,n,1,,
0,Amy Hempel,0,n,1,,
0,Amy Minato,0,n,1,,
0,Ana María Shua,1,n,1,,
0,Andrea Zimmerman,0,n,1,,
0,Andrew Clements,0,n,1,,
0,Andrew Miller,0,n,1,,
0,Angela C. Santomero,1,n,1,,
0,Anita Diamant,0,n,1,,
0,Ann M. Martin,0,n,1,,
0,Ann McGovern,0,n,1,,
0,Ann Patchett,0,n,1,,
0,Ann Rinaldi,0,n,1,,
0,Ann Weil,0,n,1,,
0,Anna Milbourne,0,n,1,,
0,Anne Capeci,0,n,1,,
0,Anne Lindsay Greer,0,n,1,,
0,Anne Mazer,0,n,1,,
0,Anne Millard,0,n,1,,
0,Anne Rice,0,n,1,,
0,Anne Rivers Siddons,0,n,1,,
0,Anonymous,0,n,1,,
0,Antonio J. Hopson,1,n,1,,
0,Antonio Tabucchi,0,n,1,,
0,Apple Jordan,0,n,1,,
0,Aprilynne Pike,0,n,1,,
0,Arnold Bennett,0,n,1,,
0,Arthur Bloch,0,n,1,,
0,Arthur Krystal,0,n,1,,
0,Arthur L. Farnham,0,n,1,,
1,Atkins Health & Medical Information Service,0,n,1,,
0,Atul Kohli,1,n,1,,
0,Audrey Niffenegger,0,n,1,,
0,August Wilson,1,n,1,,
0,Augusta Stevenson,0,n,1,,
0,Avi,0,n,1,,
0,Bailey White,0,n,1,,
0,Barbara Bazaldua,0,n,1,,
0,Barbara Brooks Wallace,0,n,1,,
0,Barbara Hardner,0,n,1,,
0,Barbara W. Tuchman,0,n,1,,
0,Béatrice Fontanel,0,n,1,,
0,Beatrice Trum Hunter,0,n,1,,
0,Béla Zombory-Moldován,0,n,1,,
0,Belva Plain,0,n,1,,
0,Benjamin Elkin,0,n,1,,
0,Benjamin Hoff,0,n,1,,
0,Bernadette Rossetti Shustak,0,n,1,,
0,Bernard Cornwell,0,n,1,,
0,Bernard LeGette,0,n,1,,
0,Bernard Palmer,0,n,1,,
0,Bernie S. Siegel,0,n,1,,
0,Berry Stainback,0,n,1,,
0,Beth Kephart,0,n,1,,
0,Beth Shulman,0,n,1,,
0,Betsy Duffey,0,n,1,,
1,Better Homes and Gardens,0,n,1,,
0,Betty MacDonald,0,n,1,,
0,Bill Henderson,0,n,1,,
0,Bill Morgan,0,n,1,,
0,Bill Peet,0,n,1,,
0,Bin Ramke,0,n,1,,
0,Blaine Brownell,0,n,1,,
0,Bob Lanier,1,n,1,,
