yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,languages,originalLang
2004,1,0,1,Montlake,Montlake5,Nonfiction,Adult,Self Help/Health,Null,English,English
1984,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
2012,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1967,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,
1984,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,English
1970,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Null,,
1964,1,0,1,Northgate,Northgate4,Nonfiction,Childrens,Null,Null,English,
2000,1,0,0,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,English,English
2005,1,0,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
1970,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1995,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1975,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,
1983,1,0,1,Montlake,Montlake4,Nonfiction,Adult,Art,Null,English,English
1989,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,
2014,1,0,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,
2005,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Crafts,Null,,
2008,1,0,0,Montlake,Montlake4,Fiction,Young Adult,Novel,Null,English,English
1968,1,0,0,Central District,CentralDistrict3,Fiction,Young Adult,Novel,Null,,
2007,1,0,1,Columbia City,ColumbiaCity1,Nonfiction,Adult,History,Null,English,English
1984,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,SciFi/Fantasy,Null,English,English
1994,1,0,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,English,English
1977,1,0,0,Ravenna,Ravenna3,Fiction,Adult,SciFi/Fantasy,Novel,English,English
1993,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Self Help/Health,Null,,English
1958,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,,
2011,1,0,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2003,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,History,English,English
2005,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2018,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Thriller/Suspense,Null,English,English
1991,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Cultural Studies,Null,English,English
2019,1,0,0,Central District,CentralDistrict1,Nonfiction,Adult,Cultural Studies,Null,English,English
1992,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Novel,Null,English,English
2007,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Religion,Null,English,English
2006,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Thriller/Suspense,Novel,English,English
1990,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,
1975,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,
2009,1,0,0,Central District,CentralDistrict2,Nonfiction,Adult,Business/Technology,Null,English,English
2009,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1988,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2009,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1991,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2010,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1996,1,0,0,Central District,CentralDistrict2,Nonfiction,Adult,Self Help/Health,Null,English,English
2013,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Thriller/Suspense,Null,English,English
2003,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Cookery,English,English
