cataloger,bookid,count,title,author,combinedName,authorOfColor,nonPersonAuthor,yrpub,neighborhood,collection,age,type,category1,category2,publication,media,summary,deweywording,subjects,deweydec,languages,originalLang,lcclassification,isbn
A,170877400,1,The Atkins Shopping Guide: Indispensable Tips and Guidelines for Successfully Stocking Your Low-carb Kitchen,"Serv, Atkins Health & Medical Information",Atkins Health & Medical Information Service,0,1,2004,Montlake,Montlake5,Adult,Nonfiction,Self Help/Health,Null,"Avon (2004), 432 pages",Paperback,The Atkins Shopping Guide: Indispensable Tips and Guidelines for Successfully Stocking Your Low-carb Kitchen by Atkins Health & Medical Information Serv (2004),Animal Food; Meats > Food; Dietetics > Health; Hygiene  > Medicine > Technology,,613.283,English,English,RM237.73 .A845,[9780060722005]
H,168007398,1,Forever Favorite Crochet (Better Homes and Gardens),"Gardens, Better Homes and",Better Homes and Gardens,0,1,1984,Northgate,Northgate3,Adult,Nonfiction,Crafts,Null,"Meredith Corp (1984), Edition: 1st, 80 pages",Hardcover,Forever Favorite Crochet (Better Homes and Gardens) by Better Homes and Gardens (1984),Arts and Recreation > Graphic arts and decorative arts ; design > Needlework > Textile arts > Yarn Crafts,Crocheting,746.43,English,English,TT820 .F68,[0696011956]
H,168008037,1,The 12 Weeks of Summer.,"Jr., Joseph J. Andrade",Joseph J. Andrade,0,0,2012,Northgate,Northgate3,Childrens,Fiction,Null,Null,"CreateSpace (2012), Edition: Lrg, 30 pages",Paperback,The 12 Weeks of Summer. by Joseph J. Andrade Jr. (2012),,,,English,English,,[1475055382]
A,none,1,Person to Person: The Probem of Being Human,"Rogers, Carl; Stevens, Barry; Gendlin, Eugene T.; Shlien, John M.; Van Dusen, Wilson","Carl Rogers, Barry Stevens",0,0,1967,Phinney-Greenwood,Phinney-Green2,Adult,Nonfiction,Self Help/Health,Null,,,,,,,English,,,
A,168459552,1,Snowy Torrents: Avalanche Accidents in the United States 1972-1979,"Armstrong, Knox Williams Betsy R.","Knox Williams, Betsy Armstrong",0,0,1984,Phinney-Greenwood,Phinney-Green3,Adult,Nonfiction,History,Null,"Teton Bookshop Pub Co (1984), 221 pages",Paperback,Snowy Torrents: Avalanche Accidents in the United States 1972-1979 by Knox Williams Betsy R. Armstrong (1984),,,,English,English,QC929 .A8,[0933160135]
H,168080739,1,"How To Know God, The Yoga Aphorisms of Patanjali",Swami Prabhavananda & Christopher Isherwood Translators Patanjali,"Swami Prabhavananda, Christopher Isherwood",1,0,1970,Northgate,Northgate2,Adult,Nonfiction,Religion,Null,"Vedanta Press, Hollywood, Ca (1970), Edition: 5th Printing",Hardcover,"How To Know God, The Yoga Aphorisms of Patanjali by Swami Prabhavananda & Christopher Isherwood Translators Patanjali (1970)",,,,,,,
A,168542158,1,History of Our Presidents Presented by: Instant Maxwell House Coffee,Instant Maxwell House Coffee,Instant Maxwell House Coffee,0,1,1964,Northgate,Northgate4,Childrens,Nonfiction,Null,Null,Instant Maxwell House Coffee (1964),Paperback,History of Our Presidents Presented by: Instant Maxwell House Coffee by Instant Maxwell House Coffee (1964),Biography and History > North America > United States,,973,English,,,
H,168002805,1,Animal Dads,"Iii, Sneed B. Collard","Sneed B. Collard III, Steve Jenkins",0,0,2000,Northgate,Northgate1,Childrens,Nonfiction,Null,Null,"HMH Books for Young Readers (2000), Edition: 1st, 32 pages",Paperback,Animal Dads by Sneed B. Collard Iii (2000),Habits and behavior > Mathematics and Science > Philoprogenitiveness; Breeding > Specific Topics In Zoology > Zoology,Animals > Habits and behavior|Parental behavior in animals|Parental behavior in animals > Juvenile literature,591.56,English,English,QL762 .C64,[9780618032990]
A,168459132,1,Complete MathSmart: Mathematics Supplementary Workbook,"Limited, Popular Book Company (Canada)",Popular Book Company Limited,0,1,2005,Phinney-Greenwood,Phinney-Green3,Childrens,Nonfiction,Null,Null,"Popular Book Company (Canada) Ltd (2005), Edition: Revised, 279 pages",Paperback,Complete MathSmart: Mathematics Supplementary Workbook by Popular Book Company (Canada) Limited (2005),General Science > General Science > Mathematics and Science,,500,English,English,,[1897164157]
H,168007256,1,"The great Dethriffe,","B Bryan, C. D.",C. D.B. Bryan,0,0,1970,Northgate,Northgate3,Adult,Fiction,Novel,Null,"Dutton (1970), Edition: 1st, 252 pages",Hardcover,"The great Dethriffe, by C. D. B Bryan (1970)",20th Century > American And Canadian > Fiction > Literature,,813.5,English,,PS3552 .R85,[0525116141]
