category1,CentralDistrict1,CentralDistrict2,CentralDistrict3,CentralDistrict4,CentralDistrict5,CentralDistrict6
Anthology/Essays/Short stories,0.0,0.1875,0.0,0.0,0.14285714285714285,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.1
Biography/Autobiography/Memoir,0.0,0.0,0.1,0.038461538461538464,0.2857142857142857,0.1
Business/Technology,0.0,0.0625,0.0,0.0,0.0,0.0
Childrens,0.0,0.0,0.43333333333333335,0.3076923076923077,0.0,0.0
Classics,0.0,0.0,0.0,0.0,0.0,0.0
Cookery,0.0,0.0,0.0,0.0,0.0,0.0
Crafts,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
Cultural Studies,0.25,0.0,0.03333333333333333,0.038461538461538464,0.0,0.1
Drama,0.0,0.0,0.0,0.0,0.0,0.0
Graphic/Manga,0.0,0.0,0.0,0.0,0.0,0.0
History,0.0,0.0,0.0,0.07692307692307693,0.42857142857142855,0.0
Music,0.0,0.0,0.0,0.0,0.0,0.0
Mystery,0.0,0.0,0.13333333333333333,0.038461538461538464,0.0,0.2
Nature/Gardening,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
Novel,0.25,0.5625,0.06666666666666667,0.0,0.0,0.3
Poetry,0.0,0.0,0.0,0.0,0.0,0.0
Reference,0.0,0.0,0.0,0.0,0.0,0.0
Religion,0.25,0.0,0.03333333333333333,0.07692307692307693,0.0,0.1
Romance,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
SciFi/Fantasy,0.0,0.0,0.0,0.11538461538461539,0.0,0.0
Science,0.0,0.0,0.0,0.0,0.0,0.0
Self Help/Health,0.0,0.0625,0.0,0.07692307692307693,0.14285714285714285,0.1
Sports,0.0,0.0,0.0,0.038461538461538464,0.0,0.0
Thriller/Suspense,0.25,0.125,0.1,0.11538461538461539,0.0,0.0
Travel,0.0,0.0,0.0,0.0,0.0,0.0
novel,0.0,0.0,0.0,0.0,0.0,0.0
