category1,ColumbiaCity1,ColumbiaCity2,ColumbiaCity3,ColumbiaCity4,ColumbiaCity5
Anthology/Essays/Short stories,0.0,0.0625,0.07142857142857142,0.045454545454545456,0.0
Art,0.0,0.0,0.0,0.09090909090909091,0.0
Biography/Autobiography/Memoir,0.07692307692307693,0.0625,0.0,0.09090909090909091,0.2857142857142857
Business/Technology,0.0,0.0,0.0,0.09090909090909091,0.0
Childrens,0.07692307692307693,0.0,0.2857142857142857,0.2727272727272727,0.0
Classics,0.0,0.0,0.07142857142857142,0.0,0.0
Cookery,0.0,0.125,0.03571428571428571,0.0,0.14285714285714285
Crafts,0.0,0.0,0.0,0.0,0.0
Cultural Studies,0.15384615384615385,0.0,0.03571428571428571,0.0,0.14285714285714285
Drama,0.0,0.0,0.03571428571428571,0.0,0.0
Graphic/Manga,0.0,0.0,0.0,0.0,0.0
History,0.15384615384615385,0.0,0.03571428571428571,0.0,0.14285714285714285
Music,0.0,0.0,0.0,0.045454545454545456,0.0
Mystery,0.07692307692307693,0.0,0.07142857142857142,0.0,0.0
Nature/Gardening,0.0,0.0,0.0,0.0,0.0
Novel,0.07692307692307693,0.3125,0.25,0.13636363636363635,0.0
Poetry,0.0,0.0,0.0,0.0,0.0
Reference,0.0,0.0625,0.0,0.0,0.0
Religion,0.07692307692307693,0.0,0.03571428571428571,0.0,0.0
Romance,0.0,0.0,0.0,0.09090909090909091,0.0
SciFi/Fantasy,0.07692307692307693,0.0625,0.03571428571428571,0.13636363636363635,0.0
Science,0.0,0.0,0.0,0.0,0.0
Self Help/Health,0.07692307692307693,0.25,0.0,0.0,0.14285714285714285
Sports,0.0,0.0,0.0,0.0,0.0
Thriller/Suspense,0.15384615384615385,0.0625,0.03571428571428571,0.0,0.14285714285714285
Travel,0.0,0.0,0.0,0.0,0.0
novel,0.0,0.0,0.0,0.0,0.0
