yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang
1989,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,
1990,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,
1975,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,
2012,1,0,0,Central District,CentralDistrict5,Fiction,Adult,Anthology/Essays/Short stories,Null,An,,
1996,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2019,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2007,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2007,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
1996,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
1991,1,0,0,Montlake,Montlake5,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
1997,1,0,0,Northgate,Northgate1,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2019,1,0,0,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2019,1,0,0,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
1985,1,0,0,Northgate,Northgate5,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Anthology/Essays/Short stories,Null,An,English,
2001,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
1998,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
1989,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Anthology/Essays/Short stories,Null,An,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Young Adult,Anthology/Essays/Short stories,Null,An,English,English
1983,1,0,1,Montlake,Montlake4,Nonfiction,Adult,Art,Null,Art,English,English
1988,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Art,Null,Art,English,English
1946,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Art,Null,Art,,
2001,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Art,Null,Art,English,English
2007,1,0,1,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Art,Null,Art,English,English
1979,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Art,History,Art,English,English
1976,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Art,Null,Art,English,English
2017,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Art,Null,Art,English,English
1988,1,1,0,Central District,CentralDistrict5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,Japanese,
2018,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Cookery,Bio,English,English
2008,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2007,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2007,1,0,1,Central District,CentralDistrict4,Nonfiction,Adult,Biography/Autobiography/Memoir,History,Bio,English,English
2007,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,,
2018,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1974,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2002,1,1,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2008,1,1,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1982,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1984,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2017,1,0,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2001,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2012,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1980,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2003,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1963,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,
2009,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2006,1,0,0,Northgate,Northgate2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2016,1,0,0,Northgate,Northgate2,Fiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2011,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,Bio,English,English
2005,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,Bio,English,English
2004,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,Bio,English,English
2002,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2008,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Religion,Bio,English,
2018,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1967,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2017,1,0,0,Queen Anne,QueenAnne1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1988,1,0,0,Queen Anne,QueenAnne3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2015,1,1,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2000,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
1994,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Bio,English,English
2007,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Biography/Autobiography/Memoir,Business/Technology,Bio,English,English
2012,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Biography/Autobiography/Memoir,Graphic/Manga,Bio,English,English
2009,1,0,0,Central District,CentralDistrict2,Nonfiction,Adult,Business/Technology,Null,Bu,English,English
2006,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Business/Technology,Null,Bu,English,English
1950,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Business/Technology,Null,Bu,English,English
2013,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Business/Technology,Null,Bu,English,English
2012,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Business/Technology,Null,Bu,English,English
2015,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Business/Technology,Null,Bu,,
2013,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Business/Technology,Null,Bu,Spanish,English
2014,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Business/Technology,Null,Bu,English,
1960,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Classics,Poetry,Cl,English,Akkadian
1946,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Classics,Null,Cl,English,English
2003,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Classics,Null,Cl,English,English
1954,1,0,0,Northgate,Northgate5,Fiction,Adult,Classics,Novel,Cl,English,English
1993,1,1,0,Northgate,Northgate5,Fiction,Adult,Classics,Null,Cl,English,English
2009,1,1,0,Queen Anne,QueenAnne4,Fiction,Adult,Classics,Novel,Cl,Spanish,Spanish
1977,1,1,0,Queen Anne,QueenAnne4,Fiction,Adult,Classics,Religion,Cl,English,English
2000,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Classics,Null,Cl,English,English
2009,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Classics,Null,Cl,English,English
1937,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Classics,Null,Cl,English,English
1991,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Cookery,Null,Co,English,English
1991,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Cookery,Null,Co,English,English
1999,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Cookery,Null,Co,English,English
1999,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Cookery,Null,Co,English,English
1998,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Null,Co,English,English
1995,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Null,Co,English,English
1979,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,Cookery,Null,Co,English,
1986,1,1,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Null,Co,English,English
1980,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1981,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1979,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1984,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1999,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,
1999,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
2012,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
2010,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,Co,English,English
1988,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Null,Co,English,English
1997,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Null,Co,English,English
2002,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Cookery,Null,Co,French,French
2004,1,0,0,Montlake,Montlake6,Nonfiction,Adult,Cookery,Null,Co,English,English
2002,1,0,0,Montlake,Montlake6,Nonfiction,Adult,Cookery,Null,Co,English,English
1992,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Cookery,Null,Co,English,
2007,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Cookery,Self Help/Health,Co,English,English
1961,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cookery,Null,Co,English,English
1949,1,0,0,Queen Anne,QueenAnne1,Nonfiction,Adult,Cookery,Null,Co,,
2006,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Adult,Cookery,Null,Co,English,English
1991,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Cookery,Null,Co,English,English
