category1,Laurelhurst1,Laurelhurst2,Laurelhurst3,Laurelhurst4,Laurelhurst5,Laurelhurst6
Anthology/Essays/Short stories,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
Art,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
Biography/Autobiography/Memoir,0.07142857142857142,0.0,0.0,0.06666666666666667,0.045454545454545456,0.0
Business/Technology,0.0,0.0,0.0,0.0,0.0,0.0
Childrens,0.14285714285714285,0.14285714285714285,0.3157894736842105,0.06666666666666667,0.36363636363636365,0.14285714285714285
Classics,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
Cookery,0.0,0.0,0.21052631578947367,0.0,0.0,0.0
Crafts,0.0,0.0,0.0,0.0,0.0,0.0
Cultural Studies,0.0,0.07142857142857142,0.10526315789473684,0.0,0.0,0.0
Drama,0.0,0.0,0.0,0.0,0.0,0.0
Graphic/Manga,0.0,0.0,0.0,0.0,0.0,0.0
History,0.0,0.0,0.05263157894736842,0.0,0.045454545454545456,0.0
Music,0.0,0.0,0.0,0.0,0.0,0.0
Mystery,0.21428571428571427,0.14285714285714285,0.05263157894736842,0.06666666666666667,0.2727272727272727,0.0
Nature/Gardening,0.0,0.07142857142857142,0.0,0.06666666666666667,0.0,0.0
Novel,0.14285714285714285,0.07142857142857142,0.0,0.4666666666666667,0.22727272727272727,0.2857142857142857
Poetry,0.0,0.0,0.0,0.0,0.0,0.0
Reference,0.0,0.0,0.0,0.0,0.0,0.0
Religion,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
Romance,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
SciFi/Fantasy,0.0,0.14285714285714285,0.21052631578947367,0.0,0.0,0.0
Science,0.0,0.0,0.0,0.0,0.0,0.0
Self Help/Health,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857
Sports,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
Thriller/Suspense,0.07142857142857142,0.14285714285714285,0.0,0.06666666666666667,0.0,0.0
Travel,0.0,0.0,0.0,0.06666666666666667,0.0,0.14285714285714285
novel,0.0,0.07142857142857142,0.05263157894736842,0.0,0.0,0.0
