category1,Northgate1,Northgate2,Northgate3,Northgate4,Northgate5
Anthology/Essays/Short stories,0.037037037037037035,0.05405405405405406,0.006944444444444444,0.0,0.05555555555555555
Art,0.0,0.0,0.006944444444444444,0.0,0.0
Biography/Autobiography/Memoir,0.0,0.05405405405405406,0.034722222222222224,0.0,0.05555555555555555
Business/Technology,0.07407407407407407,0.0,0.0,0.0,0.0
Childrens,0.37037037037037035,0.10810810810810811,0.4236111111111111,0.06666666666666667,0.05555555555555555
Classics,0.0,0.0,0.0,0.0,0.1111111111111111
Cookery,0.0,0.0,0.0,0.13333333333333333,0.0
Crafts,0.0,0.0,0.0625,0.0,0.0
Cultural Studies,0.0,0.0,0.020833333333333332,0.06666666666666667,0.05555555555555555
Drama,0.037037037037037035,0.05405405405405406,0.0,0.0,0.05555555555555555
Graphic/Manga,0.0,0.0,0.0,0.0,0.0
History,0.037037037037037035,0.08108108108108109,0.0,0.0,0.0
Music,0.07407407407407407,0.0,0.0,0.0,0.0
Mystery,0.037037037037037035,0.0,0.05555555555555555,0.2,0.16666666666666666
Nature/Gardening,0.0,0.0,0.020833333333333332,0.06666666666666667,0.0
Novel,0.07407407407407407,0.4594594594594595,0.1111111111111111,0.06666666666666667,0.2222222222222222
Poetry,0.0,0.0,0.0,0.0,0.0
Reference,0.0,0.0,0.020833333333333332,0.0,0.05555555555555555
Religion,0.1111111111111111,0.10810810810810811,0.013888888888888888,0.0,0.05555555555555555
Romance,0.0,0.0,0.013888888888888888,0.0,0.0
SciFi/Fantasy,0.0,0.0,0.05555555555555555,0.06666666666666667,0.0
Science,0.0,0.0,0.013888888888888888,0.0,0.0
Self Help/Health,0.0,0.0,0.04861111111111111,0.2,0.05555555555555555
Sports,0.0,0.0,0.04861111111111111,0.0,0.0
Thriller/Suspense,0.14814814814814814,0.08108108108108109,0.034722222222222224,0.13333333333333333,0.05555555555555555
Travel,0.0,0.0,0.006944444444444444,0.0,0.0
novel,0.0,0.0,0.0,0.0,0.0
