neighborhood,lflname,Anthology/Essays/Short stories,Art,Biography/Autobiography/Memoir,Business/Technology,Childrens,Classics,Cookery,Crafts,Cultural Studies,Drama,Graphic/Manga,History,Music,Mystery,Nature/Gardening,Novel,Poetry,Reference,Religion,Romance,SciFi/Fantasy,Science,Self Help/Health,Sports,Thriller/Suspense,Travel,novel
Central District,CentralDistrict1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Central District,CentralDistrict2,0.1875,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.0
Central District,CentralDistrict3,0.0,0.0,0.1,0.0,0.43333333333333335,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Central District,CentralDistrict4,0.0,0.0,0.038461538461538464,0.0,0.3076923076923077,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.0,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.0,0.0
Central District,CentralDistrict5,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
Central District,CentralDistrict6,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Columbia City,ColumbiaCity1,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0
Columbia City,ColumbiaCity2,0.0625,0.0,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0625,0.0,0.0,0.0625,0.0,0.25,0.0,0.0625,0.0,0.0
Columbia City,ColumbiaCity3,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.25,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.0
Columbia City,ColumbiaCity4,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
Columbia City,ColumbiaCity5,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0
Laurelhurst,Laurelhurst1,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0
Laurelhurst,Laurelhurst2,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142
Laurelhurst,Laurelhurst3,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.21052631578947367,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
Laurelhurst,Laurelhurst4,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
