lflname,category1,count,total,percent
CentralDistrict1,Cultural Studies,1,4,0.25
CentralDistrict1,Novel,1,4,0.25
CentralDistrict1,Religion,1,4,0.25
CentralDistrict1,Thriller/Suspense,1,4,0.25
CentralDistrict2,Novel,8,16,0.5
CentralDistrict2,Anthology/Essays/Short stories,3,16,0.1875
CentralDistrict2,Thriller/Suspense,2,16,0.125
CentralDistrict2,Business/Technology,1,16,0.0625
CentralDistrict2,Romance,1,16,0.0625
CentralDistrict2,Self Help/Health,1,16,0.0625
CentralDistrict3,Childrens,7,30,0.23333333333333334
CentralDistrict3,Novel,5,30,0.16666666666666666
CentralDistrict3,Mystery,4,30,0.13333333333333333
CentralDistrict3,Biography/Autobiography/Memoir,3,30,0.1
CentralDistrict3,Thriller/Suspense,3,30,0.1
CentralDistrict3,Nature/Gardening,2,30,0.06666666666666667
CentralDistrict3,Business/Technology,1,30,0.03333333333333333
CentralDistrict3,Crafts,1,30,0.03333333333333333
CentralDistrict3,Cultural Studies,1,30,0.03333333333333333
CentralDistrict3,Graphic/Manga,1,30,0.03333333333333333
CentralDistrict3,History,1,30,0.03333333333333333
CentralDistrict3,Religion,1,30,0.03333333333333333
CentralDistrict4,Childrens,6,26,0.23076923076923078
CentralDistrict4,Religion,3,26,0.11538461538461539
CentralDistrict4,SciFi/Fantasy,3,26,0.11538461538461539
CentralDistrict4,Thriller/Suspense,3,26,0.11538461538461539
CentralDistrict4,History,2,26,0.07692307692307693
CentralDistrict4,Romance,2,26,0.07692307692307693
CentralDistrict4,Self Help/Health,2,26,0.07692307692307693
CentralDistrict4,Biography/Autobiography/Memoir,1,26,0.038461538461538464
CentralDistrict4,Cultural Studies,1,26,0.038461538461538464
CentralDistrict4,Mystery,1,26,0.038461538461538464
CentralDistrict4,Novel,1,26,0.038461538461538464
CentralDistrict4,Sports,1,26,0.038461538461538464
CentralDistrict5,History,3,6,0.5
CentralDistrict5,Anthology/Essays/Short stories,1,6,0.16666666666666666
CentralDistrict5,Biography/Autobiography/Memoir,1,6,0.16666666666666666
CentralDistrict5,Self Help/Health,1,6,0.16666666666666666
CentralDistrict6,Novel,3,10,0.3
CentralDistrict6,Mystery,2,10,0.2
CentralDistrict6,Art,1,10,0.1
CentralDistrict6,Biography/Autobiography/Memoir,1,10,0.1
CentralDistrict6,Cultural Studies,1,10,0.1
CentralDistrict6,Religion,1,10,0.1
CentralDistrict6,Self Help/Health,1,10,0.1
ColumbiaCity1,Cultural Studies,2,13,0.15384615384615385
ColumbiaCity1,History,2,13,0.15384615384615385
ColumbiaCity1,Self Help/Health,2,13,0.15384615384615385
ColumbiaCity1,Thriller/Suspense,2,13,0.15384615384615385
ColumbiaCity1,Biography/Autobiography/Memoir,1,13,0.07692307692307693
ColumbiaCity1,Mystery,1,13,0.07692307692307693
ColumbiaCity1,Novel,1,13,0.07692307692307693
ColumbiaCity1,Religion,1,13,0.07692307692307693
ColumbiaCity1,SciFi/Fantasy,1,13,0.07692307692307693
ColumbiaCity2,Novel,5,16,0.3125
ColumbiaCity2,Self Help/Health,4,16,0.25
ColumbiaCity2,Cookery,2,16,0.125
ColumbiaCity2,Anthology/Essays/Short stories,1,16,0.0625
ColumbiaCity2,Biography/Autobiography/Memoir,1,16,0.0625
ColumbiaCity2,Reference,1,16,0.0625
ColumbiaCity2,SciFi/Fantasy,1,16,0.0625
ColumbiaCity2,Thriller/Suspense,1,16,0.0625
ColumbiaCity3,Novel,14,28,0.5
ColumbiaCity3,Anthology/Essays/Short stories,2,28,0.07142857142857142
ColumbiaCity3,Classics,2,28,0.07142857142857142
ColumbiaCity3,Mystery,2,28,0.07142857142857142
ColumbiaCity3,Cookery,1,28,0.03571428571428571
ColumbiaCity3,Cultural Studies,1,28,0.03571428571428571
ColumbiaCity3,Drama,1,28,0.03571428571428571
ColumbiaCity3,History,1,28,0.03571428571428571
ColumbiaCity3,Childrens,1,28,0.03571428571428571
ColumbiaCity3,Religion,1,28,0.03571428571428571
ColumbiaCity3,SciFi/Fantasy,1,28,0.03571428571428571
ColumbiaCity3,Thriller/Suspense,1,28,0.03571428571428571
ColumbiaCity4,Childrens,5,22,0.22727272727272727
ColumbiaCity4,SciFi/Fantasy,4,22,0.18181818181818182
ColumbiaCity4,Novel,3,22,0.13636363636363635
ColumbiaCity4,Art,2,22,0.09090909090909091
ColumbiaCity4,Biography/Autobiography/Memoir,2,22,0.09090909090909091
ColumbiaCity4,Business/Technology,2,22,0.09090909090909091
ColumbiaCity4,Romance,2,22,0.09090909090909091
ColumbiaCity4,Anthology/Essays/Short stories,1,22,0.045454545454545456
ColumbiaCity4,Music,1,22,0.045454545454545456
ColumbiaCity5,Biography/Autobiography/Memoir,2,6,0.3333333333333333
ColumbiaCity5,Cookery,1,6,0.16666666666666666
ColumbiaCity5,History,1,6,0.16666666666666666
ColumbiaCity5,Self Help/Health,1,6,0.16666666666666666
ColumbiaCity5,Thriller/Suspense,1,6,0.16666666666666666
Laurelhurst1,Mystery,3,14,0.21428571428571427
Laurelhurst1,Novel,3,14,0.21428571428571427
Laurelhurst1,Self Help/Health,3,14,0.21428571428571427
Laurelhurst1,Romance,2,14,0.14285714285714285
Laurelhurst1,Biography/Autobiography/Memoir,1,14,0.07142857142857142
Laurelhurst1,Childrens,1,14,0.07142857142857142
Laurelhurst1,Thriller/Suspense,1,14,0.07142857142857142
Laurelhurst2,Novel,3,14,0.21428571428571427
Laurelhurst2,Mystery,2,14,0.14285714285714285
Laurelhurst2,SciFi/Fantasy,2,14,0.14285714285714285
Laurelhurst2,Thriller/Suspense,2,14,0.14285714285714285
Laurelhurst2,Classics,1,14,0.07142857142857142
Laurelhurst2,Cultural Studies,1,14,0.07142857142857142
Laurelhurst2,Nature/Gardening,1,14,0.07142857142857142
Laurelhurst2,Self Help/Health,1,14,0.07142857142857142
Laurelhurst2,novel,1,14,0.07142857142857142
Laurelhurst3,Childrens,6,19,0.3157894736842105
Laurelhurst3,Cookery,4,19,0.21052631578947367
Laurelhurst3,SciFi/Fantasy,4,19,0.21052631578947367
Laurelhurst3,Cultural Studies,2,19,0.10526315789473684
Laurelhurst3,History,1,19,0.05263157894736842
Laurelhurst3,Mystery,1,19,0.05263157894736842
Laurelhurst3,novel,1,19,0.05263157894736842
Laurelhurst4,Novel,7,15,0.4666666666666667
Laurelhurst4,Art,1,15,0.06666666666666667
Laurelhurst4,Biography/Autobiography/Memoir,1,15,0.06666666666666667
