central,columbia,laurelhurst,montlake,northgate,phinney,queen,ravenna
0.057329737,0.04255001,0.012276147,0.013453263,0,0,0.023143612,0.013299275
0.013085458,0.029864461,0.011182725,0.035314816,0.039535813,0.011172403,0,0
0.071751326,0.089630502,0.048184539,0.046245593,0.000365202,0,0.040363784,0.028064775
0.024355134,0.029864461,0,0.02438404,0.031279879,0.043764163,0,0
0,0.016981202,0.006298571,0,0.019433481,0,0.034808717,0.011844674
0,0.048519464,0.040382064,0.243275135,0.019433481,0,0.017220172,0.0156323
0.010972279,0,0,0.010930776,0.019433481,0.003962479,0,0
0.032625596,0.031726695,0.026489603,0,0.003286816,0.007924958,0.062847827,0.017999711
0,0.008490601,0,0,0.020529087,0.023059839,0.015072799,0
0.010972279,0,0,0,0.039170611,0.01583804,0.015072799,0.00738275
0.079651513,0.050482403,0.034647811,0.026906527,0,0,0,0.024794661
0,0.014932231,0,0,0.040052839,0.033079622,0,0.013299275
0.07862789,0.028599249,0.144880822,0.07118783,0.019433481,0,0.095085295,0.183536888
0.021944557,0,0.017481296,0.010930776,0.0709388,0.088950857,0,0.013299275
0.223131322,0.22846604,0.243125547,0.218325832,0.011177548,0,0.259183549,0.177102851
0.128213108,0.083151755,0.160999766,0.026906527,0.241626016,0.254059644,0.180935844,0.047763701
0,0,0,0.027464724,0.17652645,0.215162781,0,0.020443514
0,0.010636577,0,0.013453263,0,0.005586201,0,0
0.049761315,0.020108648,0.027689837,0,0.010812346,0,0.004663118,0.007144239
0.017135719,0.029864461,0.024899037,0,0.079071626,0.026529027,0.038216411,0.11377695
0,0,0,0,0.000730404,0.029581255,0,0.020682025
0.025703579,0.090474148,0.052979205,0.033067895,0.000365202,0,0.063684273,0.193892576
0.060785204,0.084538111,0.074474505,0.105944449,0.013368759,0.053724374,0.024399035,0.02388185
0.00856786,0,0.011182725,0.02438404,0.041423376,0.10433557,0.004663118,0.00738275
0.085386124,0.06111898,0.036229385,0.040917987,0.002556413,0.003962479,0.120639644,0.051393211
0,0,0.026596415,0.026906527,0.099448889,0.079306311,0,0.00738275
