neighborhood_x,isbn,neighborhood_y
Ravenna,1250060761,Ravenna
Laurelhurst,1335474625,Ravenna
Ravenna,1338068474,Ravenna
Columbia City,1476743681,Ravenna
Queen Anne,1481404121,Ravenna
Northgate,1481491539,Ravenna
Columbia City,1501187597,Ravenna
Columbia City,1501187597,Ravenna
Northgate,1568585403,Ravenna
Queen Anne,1595722076,Ravenna
Ravenna,1603093680,Ravenna
Ravenna,1606840355,Ravenna
Northgate,1609451198,Ravenna
Columbia City,1616205776,Ravenna
Northgate,1616955600,Ravenna
Montlake,1631494139,Ravenna
Phinney-Greenwood,1641290110,Ravenna
Northgate,1939810159,Ravenna
Columbia City,1982122102,Ravenna
Ravenna,067989067X,Ravenna
Queen Anne,076790382X,Ravenna
Queen Anne,144248845X,Ravenna
Phinney-Greenwood,198480183X,Ravenna
Phinney-Greenwood,198480183X,Ravenna
Columbia City,1101904429,Queen Anne
Ravenna,1250060761,Queen Anne
Northgate,1616955600,Queen Anne
Phinney-Greenwood,1641290110,Queen Anne
Northgate,1681370824,Queen Anne
Ravenna,067989067X,Queen Anne
Queen Anne,144248845X,Queen Anne
Phinney-Greenwood,198480183X,Queen Anne
Ravenna,1338068474,Phinney-Greenwood
Queen Anne,1481404121,Phinney-Greenwood
Columbia City,1501187597,Phinney-Greenwood
Columbia City,1501197843,Phinney-Greenwood
Northgate,1568585403,Phinney-Greenwood
Ravenna,1603093680,Phinney-Greenwood
Northgate,1609451198,Phinney-Greenwood
Columbia City,1616205776,Phinney-Greenwood
Montlake,1631494139,Phinney-Greenwood
Phinney-Greenwood,1641290110,Phinney-Greenwood
Columbia City,1933821248,Phinney-Greenwood
Ravenna,067989067X,Phinney-Greenwood
Queen Anne,144248845X,Phinney-Greenwood
Phinney-Greenwood,198480183X,Phinney-Greenwood
Columbia City,1101904429,Northgate
Northgate,1472906500,Northgate
Queen Anne,1481404121,Northgate
Northgate,1487001835,Northgate
Columbia City,1501187597,Northgate
Phinney-Greenwood,037378970X,Northgate
Queen Anne,144248845X,Northgate
Phinney-Greenwood,198480183X,Northgate
Columbia City,1101904429,Montlake
Ravenna,1338068474,Montlake
Columbia City,1501187597,Montlake
Phinney-Greenwood,1641290110,Montlake
Ravenna,067989067X,Montlake
Phinney-Greenwood,198480183X,Montlake
Ravenna,1250060761,Laurelhurst
Columbia City,1501187597,Laurelhurst
Northgate,1616955600,Laurelhurst
Ravenna,067989067X,Laurelhurst
Queen Anne,076790382X,Laurelhurst
Phinney-Greenwood,198480183X,Laurelhurst
Ravenna,1603093680,Columbia City
Phinney-Greenwood,006243375X,Columbia City
Ravenna,067989067X,Columbia City
Queen Anne,144248845X,Columbia City
Phinney-Greenwood,198480183X,Columbia City
Columbia City,1501187597,Central District
Ravenna,067989067X,Central District
Phinney-Greenwood,198480183X,Central District
Montlake,2710978,
Northgate,6151833,
Phinney-Greenwood,6474098,
Northgate,28600452,
Northgate,28636368,
Central District,48200247,
Laurelhurst,60004703,
Northgate,60158808,
Queen Anne,60198338,
Laurelhurst,60254920,
Montlake,60380160,
Northgate,60517573,
Columbia City,60652950,
Ravenna,60880414,
Ravenna,60919833,
Phinney-Greenwood,60934417,
Northgate,60956445,
Columbia City,60971819,
Laurelhurst,61010650,
Montlake,61031097,
Ravenna,61094110,
Ravenna,61121088,
Central District,61147788,
Phinney-Greenwood,61453080,
Queen Anne,61668036,
Central District,61703087,
Columbia City,61713007,
Phinney-Greenwood,61980943,
Phinney-Greenwood,62017853,
Phinney-Greenwood,62024035,
Central District,62086340,
Central District,62190946,
Phinney-Greenwood,62279084,
Ravenna,62319221,
Columbia City,62349899,
Queen Anne,62413511,
Phinney-Greenwood,62675214,
Queen Anne,62802186,
Phinney-Greenwood,64400026,
Northgate,64401499,
Ravenna,64402053,
