category,CentralDistrict2,CentralDistrict3,CentralDistrict4,CentralDistrict5,CentralDistrict6,ColumbiaCity1,ColumbiaCity2,ColumbiaCity3,ColumbiaCity4,ColumbiaCity5,Laurelhurst1,Laurelhurst2,Laurelhurst3,Laurelhurst4,Laurelhurst5,Laurelhurst6,Montlake2,Montlake4,Montlake5,Montlake6,Northgate1,Northgate2,Northgate3,Northgate4,Northgate5,Phinney-Green1,Phinney-Green2,Phinney-Green3,Phinney-Green4,Phinney-Green5,QueenAnne1,QueenAnne2,QueenAnne3,QueenAnne4,QueenAnne5,Ravenna1,Ravenna2,Ravenna3,Ravenna4,Ravenna5
Anthology/Essays/Short stories,63.04116168,0,0,26.97782692,0,0,15.966469,25.4903277,22.41463526,0,0,0,0,0,18.08113911,0,0,0,20.86285282,0,20.86285282,42.37766979,0.784126291,0,20.86285282,0,0,0,20.85572266,0,0,0,14.66920933,27.39575914,0,0,28.44934476,0,0,0
Art,0,0,0,0,20.54674899,0,0,0,44.82927053,0,0,0,0,16.47067328,0,0,16.95106792,16.95106792,20.86285282,0,0,0,0.784126291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography/Autobiography/Memoir,0,51.68592137,13.45322851,26.97782692,20.54674899,17.43974408,15.966469,0,44.82927053,56.30804568,18.33649174,0,0,16.47067328,36.16227822,0,16.95106792,33.90213583,20.86285282,0,0,42.37766979,3.920631457,0,20.86285282,74.29851198,0,7.396829637,0,0,22.82323405,0,14.66920933,27.39575914,8.475510014,0,28.44934476,31.58584084,0,0
Business/Technology,21.01372056,17.22864046,0,0,0,0,0,0,44.82927053,0,0,0,0,0,0,0,16.95106792,0,20.86285282,0,41.72570564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classics,0,0,0,0,0,0,0,25.4903277,0,0,0,9.276960247,0,0,0,0,0,0,0,0,0,0,0,0,41.72570564,0,0,0,0,0,0,0,0,54.79151827,8.475510014,15.28270586,0,0,10.05500816,0
Cookery,0,0,0,0,0,0,31.93293799,12.74516385,0,28.15402284,0,0,59.47743129,0,0,0,271.2170867,33.90213583,20.86285282,51.2805416,0,0,0,41.72570564,0,0,0,7.396829637,0,0,22.82323405,0,0,0,8.475510014,0,0,15.79292042,0,17.64714994
Crafts,0,17.22864046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95106792,0,0,0,0,7.057136623,0,0,0,0,14.79365927,0,0,0,0,0,0,0,0,0,0,0,0
Cultural Studies,0,17.22864046,13.45322851,0,20.54674899,34.87948816,0,12.74516385,0,0,0,9.276960247,29.73871564,0,0,0,0,0,0,0,0,0,2.352378874,20.86285282,20.86285282,0,0,22.19048891,20.85572266,0,22.82323405,34.67246082,29.33841866,27.39575914,0,0,28.44934476,0,10.05500816,0
Drama,0,0,0,0,0,0,0,12.74516385,0,0,0,0,0,0,0,0,0,0,0,0,20.86285282,42.37766979,0,0,20.86285282,24.76617066,4.798981166,0,0,0,0,0,0,27.39575914,0,0,0,0,0,0
Graphic/Manga,0,17.22864046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.39575914,0,0,0,15.79292042,0,0
History,0,17.22864046,26.90645701,80.93348077,0,34.87948816,0,12.74516385,0,28.15402284,0,0,14.86935782,0,36.16227822,0,0,0,41.72570564,0,20.86285282,63.56650469,1.568252583,0,0,24.76617066,0,36.98414818,0,0,0,0,0,0,0,15.28270586,0,0,20.11001631,17.64714994
Music,0,0,0,0,0,0,0,0,22.41463526,0,0,0,0,0,0,0,0,0,0,0,41.72570564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.44934476,0,0,0
Mystery,0,68.91456183,13.45322851,0,41.09349798,17.43974408,0,25.4903277,0,0,55.00947521,18.55392049,14.86935782,16.47067328,108.4868347,0,16.95106792,67.80427167,0,25.6402708,20.86285282,0,6.273010331,62.58855846,62.58855846,24.76617066,19.19592466,22.19048891,83.42289064,16.47067328,0,0,29.33841866,109.5830365,33.90204006,61.13082344,199.1454133,31.58584084,30.16502447,70.58859977
Nature/Gardening,0,34.45728092,0,0,0,0,0,0,0,0,0,9.276960247,0,16.47067328,0,0,0,16.95106792,0,0,0,0,3.136505166,20.86285282,0,0,0,0,0,0,0,0,0,0,0,0,28.44934476,0,0,0
Novel,189.123485,86.14320229,13.45322851,0,61.64024697,17.43974408,79.83234498,178.4322939,67.24390579,0,55.00947521,37.10784099,14.86935782,115.294713,90.40569556,45.40464621,0,152.5596113,83.45141129,102.5610832,41.72570564,360.2101932,12.54602066,20.86285282,83.45141129,148.597024,23.99490583,118.3492742,166.8457813,16.47067328,159.7626384,46.22994776,102.6844653,136.9787957,25.42653004,61.13082344,199.1454133,63.17168168,20.11001631,35.29429989
