tract,pop
1,6255
2,7646
3,2603
4.01,5551
4.02,4841
5,3165
6,7626
7,4438
8,2583
9,2019
10,1941
11,2503
12,6494
13,4340
14,4848
15,2454
16,4131
17.01,3818
17.02,4234
18,4535
19,4157
20,3406
21,3807
22,5286
24,2972
25,2802
26,4660
27,5289
28,4481
29,4177
30,5637
31,6219
32,7683
33,6224
34,3302
35,3936
36,5672
38,2058
39,2772
40,2690
41,7789
42,7618
43.01,3531
43.02,3518
44,6260
45,2676
46,3251
47,6739
48,4539
49,6139
50,3600
51,3662
52,6076
53.01,7085
53.02,5706
54,4948
56,6382
57,6001
58.01,4743
58.02,5059
59,6836
60,5150
61,4796
62,3848
63,4962
64,3207
65,4157
66,3540
67,6544
68,2834
69,4080
70,6959
71,3055
72,5318
73,4668
74.01,4115
74.02,4921
75,6282
76,3498
77,4476
78,5145
79,5147
80.01,5588
80.02,3013
81,4070
82,3280
83,2505
84,3760
85,4341
86,5055
87,3843
88,3503
89,4829
90,2925
91,2508
92,2825
93,2354
94,5700
95,5906
96,5252
97.01,5290
97.02,5173
98,6198
99,4787
100.01,3769
100.02,4313
101,6553
102,4835
103,5940
104.01,4432
104.02,4669
105,6342
106,7310
107.01,3385
107.02,3679
108,4596
109,1287
110.01,4534
110.02,4479
111.01,4390
111.02,4419
112,3906
113,5984
114.01,4027
114.02,4174
115,4191
116,6413
117,5538
118,7383
119,7108
120,3349
121,2681
201,3156
202,5566
203,6434
204.01,3426
204.02,5368
205,6327
206,3661
207,3569
208,4309
209,3240
210,5594
211,4125
213,3759
214,3690
215,4294
216,4513
217,7681
218.02,5401
218.03,4348
218.04,4374
219.03,5695
219.04,5043
219.05,4950
219.06,3911
220.01,4738
220.03,5031
220.05,4725
220.06,3686
221.01,4734
221.02,5871
222.01,4268
222.02,7073
222.03,4865
223,2681
224,7935
225,7143
226.03,5324
226.04,4233
226.05,5410
226.06,5430
227.01,2546
227.02,3729
227.03,2373
228.01,8314
228.02,4791
228.03,4987
229.01,2924
229.02,6299
230,5190
231,3792
232.01,6223
232.02,4345
233,6217
234.01,3546
234.03,3888
234.04,3321
235,3667
236.01,3812
236.03,5963
236.04,5838
237,3971
238.01,2536
238.03,3501
238.04,3646
239,6924
240,7612
241,4379
242,2953
243,7255
244,2885
245,4595
246.01,4302
246.02,3662
247.01,3598
247.02,7058
248,5668
249.01,5017
249.02,3795
249.03,6864
250.01,4635
250.03,6817
250.05,4645
250.06,5088
251.01,5797
251.02,7456
252,7929
253.01,5004
253.02,4366
254,6925
255,4841
256.01,4941
256.02,5474
257.01,5545
257.02,3495
258.03,4676
258.04,3714
258.05,4551
258.06,4954
260.01,5274
260.02,7911
261,6712
262,4998
263,1626
264,5745
265,3459
266,2306
267,5472
268.01,5385
268.02,4906
270,3489
271,3431
272,2558
273,6327
274,5421
275,4718
276,4648
277.01,5679
277.02,4945
278,3290
279,6514
280,3366
281,2477
282,4718
283,4580
284.02,5097
284.03,4986
285,3847
286,6214
287,5055
288.01,3095
288.02,6128
289.01,3368
289.02,6495
290.01,4230
290.03,5466
290.04,3751
291.01,2990
291.02,4329
292.03,3537
292.04,6666
292.05,4602
292.06,3853
293.03,7517
293.04,4836
293.05,3914
293.06,3283
293.07,3883
294.03,5535
294.05,5861
294.06,5004
294.07,4885
294.08,4376
295.02,6780
295.03,7896
295.04,5292
296.01,7153
296.02,5462
297,7056
298.01,7914
298.02,8969
299.01,4823
299.02,4427
300.03,5877
300.04,8055
300.05,5530
300.06,3736
301,7323
302.01,5327
302.02,6484
303.04,2987
303.05,4906
303.06,5681
303.08,6266
303.09,5730
303.1,5551
303.11,5034
303.12,4736
303.13,3612
303.14,3795
304.01,8134
304.03,4270
304.04,4208
305.01,1686
305.03,4181
305.04,4484
306,5331
307,3796
308.01,6575
308.02,3683
309.01,3606
309.02,5605
310,3347
311,6718
312.02,6401
312.04,6038
312.05,6673
312.06,4877
313.01,2487
313.02,4371
314,5780
315.01,3616
315.02,3876
316.01,5134
316.03,5728
316.04,4797
316.05,3589
317.03,6649
317.04,5539
317.05,3744
317.06,6310
318,4777
319.03,6411
319.04,3329
319.06,3594
319.07,7399
319.08,4266
319.09,3037
320.02,2906
320.03,4754
320.05,6457
320.06,4275
320.07,3457
320.08,4090
320.1,5175
320.11,4117
321.02,4546
321.03,4280
321.04,6033
322.03,6638
322.07,3254
322.08,7936
322.1,10572
322.11,4803
322.12,7787
322.13,4376
322.14,6264
322.15,4629
323.07,6368
323.09,5212
323.11,5837
323.13,5576
323.15,5256
323.16,5495
323.17,6038
323.18,5646
323.19,4703
323.2,4205
323.21,4959
323.22,3344
323.23,5483
323.24,5053
323.25,5791
323.26,3762
323.27,3834
323.28,3245
323.29,6599
324.01,5859
324.02,6010
325,5237
326.01,2785
326.02,11041
327.02,6545
327.03,2020
327.04,6014
328,2851
