#Caste is Not a Rumour: The Online Diary of Rohith Vemula,Rohith Vemula,https://www.goodreads.com/author/show/15609828.Rohith_Vemula,3.97,34,https://goodreads.com/book/show/31443092-caste-is-not-a-rumour
1001 Things Everyone Should Know About African American History,Jeffrey C. Stewart,https://www.goodreads.com/author/show/159846.Jeffrey_C_Stewart,4.29,85,https://goodreads.com/book/show/1919004.1001_Things_Everyone_Should_Know_About_African_American_History
50 Things They Don't Want You to Know,Jerome Hudson,https://www.goodreads.com/author/show/3316126.Jerome_Hudson,4.13,62,https://goodreads.com/book/show/45188317-50-things-they-don-t-want-you-to-know
9 Rules of Engagement: A Military Brat's Guide to Life and Success,Harris Faulkner,https://www.goodreads.com/author/show/178558.Harris_Faulkner,3.94,136,https://goodreads.com/book/show/38245506-9-rules-of-engagement
A Bedtime Story for Lauren,Curious Violet,https://www.goodreads.com/author/show/18026875.Curious_Violet,0,0,https://goodreads.com/book/show/27784112-a-bedtime-story-for-lauren
A Bitter Pill to Swallow,Tiffany Gholar,https://www.goodreads.com/author/show/6566471.Tiffany_Gholar,3.93,76,https://goodreads.com/book/show/28419902-a-bitter-pill-to-swallow
"A Bollywood Affair (Bollywood, #1)",Sonali Dev,https://www.goodreads.com/author/show/7025918.Sonali_Dev,3.71,5630,https://goodreads.com/book/show/17707787-a-bollywood-affair
"A Bollywood Affair (Bollywood, #1)",Sonali Dev,https://www.goodreads.com/author/show/7025918.Sonali_Dev,3.71,5630,https://goodreads.com/book/show/17707787-a-bollywood-affair
A Breath of Fresh Air,Amulya Malladi,https://www.goodreads.com/author/show/58564.Amulya_Malladi,3.86,1822,https://goodreads.com/book/show/8610162-a-breath-of-fresh-air
A Brief History of Seven Killings,Marlon James,https://www.goodreads.com/author/show/56064.Marlon_James,3.88,26745,https://goodreads.com/book/show/24701860-a-brief-history-of-seven-killings
"A Crown of Wishes (The Star-Touched Queen, #2)",Roshani Chokshi,https://www.goodreads.com/author/show/13695109.Roshani_Chokshi,4.13,6612,https://goodreads.com/book/show/34964865-a-crown-of-wishes
A Cup of Water Under My Bed: A Memoir,Daisy Hernández,https://www.goodreads.com/author/show/1271021.Daisy_Hern_ndez,4.12,1374,https://goodreads.com/book/show/20447732-a-cup-of-water-under-my-bed
"A Dance with Danger (Lovers and Rebels, #2; Tang Dynasty, #5)",Jeannie Lin,https://www.goodreads.com/author/show/3496825.Jeannie_Lin,3.79,152,https://goodreads.com/book/show/23522249-a-dance-with-danger
A Different Kind of Blues,Gwynne Forster,https://www.goodreads.com/author/show/2517.Gwynne_Forster,4.27,49,https://goodreads.com/book/show/28691578-a-different-kind-of-blues
A Different Kind of Blues,Gwynne Forster,https://www.goodreads.com/author/show/2517.Gwynne_Forster,4.27,49,https://goodreads.com/book/show/28691578-a-different-kind-of-blues
"A Dream of Stone & Shadow (Dirk & Steele, #4)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,4.06,734,https://goodreads.com/book/show/13148804-a-dream-of-stone-shadow
A Foreigner Carrying in the Crook of His Arm a Tiny Bomb,Amitava Kumar,https://www.goodreads.com/author/show/202835.Amitava_Kumar,3.98,56,https://goodreads.com/book/show/8389264-a-foreigner-carrying-in-the-crook-of-his-arm-a-tiny-bomb
