https://www.goodreads.com/list/show/96282._ReadPOC_List_of_Romance_Books_by_Authors_of_Color,,,,,
title,author,author_url,rating,voters_count,url
,,,,,
Every Last Breath (Final Hour #1),Juno Rushdan,https://www.goodreads.com/author/show/18215357.Juno_Rushdan,3.91,516,https://goodreads.com/book/show/40876589-every-last-breath
,,,,,
"Wheels of Steel: Book 1 (Wheels of Steel, #1)",Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.25,681,https://goodreads.com/book/show/13570721-wheels-of-steel
,,,,,
Thanks to You,Maggie Blackbird,https://www.goodreads.com/author/show/18176196.Maggie_Blackbird,4.57,7,https://goodreads.com/book/show/48577001-thanks-to-you
,,,,,
A Merry Little Christmas,Melanie Schuster,https://www.goodreads.com/author/show/80025.Melanie_Schuster,4.59,280,https://goodreads.com/book/show/1514477.A_Merry_Little_Christmas
,,,,,
"The Infamous Miss Rodriguez (Ciudad Real, 0.5)",Lydia San Andres,https://www.goodreads.com/author/show/14227149.Lydia_San_Andres,3.86,79,https://goodreads.com/book/show/31371923-the-infamous-miss-rodriguez
,,,,,
Hot for the Holidays,Michelle  Lynn,https://www.goodreads.com/author/show/7065829.Michelle_Lynn,4.38,151,https://goodreads.com/book/show/26175859-hot-for-the-holidays
,,,,,
"Night Whispers (ShadowLands, #1)",Alisha Rai,https://www.goodreads.com/author/show/2987418.Alisha_Rai,3.98,289,https://goodreads.com/book/show/15771200-night-whispers
,,,,,
Angelborn (The Eternal Flame #1),L. Penelope,https://www.goodreads.com/author/show/9870934.L_Penelope,4.07,105,https://goodreads.com/book/show/25450786-angelborn
,,,,,
"Giving It Up (Pushing the Boundaries, #1)",Audra North,https://www.goodreads.com/author/show/7377144.Audra_North,3.72,166,https://goodreads.com/book/show/27751732-giving-it-up
,,,,,
"The Jade Temptress (The Pingkang Li Mysteries, #2)",Jeannie Lin,https://www.goodreads.com/author/show/3496825.Jeannie_Lin,4,452,https://goodreads.com/book/show/18246316-the-jade-temptress
,,,,,
The Perilous Life of Jade Yeo,Zen Cho,https://www.goodreads.com/author/show/4632661.Zen_Cho,3.82,804,https://goodreads.com/book/show/14742759-the-perilous-life-of-jade-yeo
,,,,,
Stranded!,Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,3.95,1061,https://goodreads.com/book/show/13552093-stranded
,,,,,
Finding Love Again,Chioma Iwunze-Ibiam,https://www.goodreads.com/author/show/14958605.Chioma_Iwunze_Ibiam,3.4,10,https://goodreads.com/book/show/24436527-finding-love-again
,,,,,
"Radio Silence (Off the Grid, #1)",Alyssa Cole,https://www.goodreads.com/author/show/7790155.Alyssa_Cole,3.64,1171,https://goodreads.com/book/show/23500162-radio-silence
,,,,,
"Bear Meets Girl (Pride, #7)",Shelly Laurenston,https://www.goodreads.com/author/show/65137.Shelly_Laurenston,4.32,11699,https://goodreads.com/book/show/12180288-bear-meets-girl
,,,,,
"The Minotaur's Kiss (Gods and Concubines, #1)",Erin St. Charles,https://www.goodreads.com/author/show/18055512.Erin_St_Charles,3.94,211,https://goodreads.com/book/show/40204689-the-minotaur-s-kiss
,,,,,
"Archangel's Heart (Guild Hunter, #9)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.4,12786,https://goodreads.com/book/show/26218178-archangel-s-heart
,,,,,
"The Beast in Him (Pride, #2)",Shelly Laurenston,https://www.goodreads.com/author/show/65137.Shelly_Laurenston,4.23,13822,https://goodreads.com/book/show/2278298.The_Beast_in_Him
,,,,,
"One Real Man (Real Men, #3)",Coleen Kwan,https://www.goodreads.com/author/show/5210210.Coleen_Kwan,3.54,85,https://goodreads.com/book/show/24598945-one-real-man
,,,,,
Indigo,Beverly Jenkins,https://www.goodreads.com/author/show/199260.Beverly_Jenkins,4.42,2362,https://goodreads.com/book/show/347339.Indigo
,,,,,
"Hot and Badgered (Honey Badger Chronicles, #1)",Shelly Laurenston,https://www.goodreads.com/author/show/65137.Shelly_Laurenston,4.23,7024,https://goodreads.com/book/show/35534548-hot-and-badgered
,,,,,
Midlife Crisis,Audra North,https://www.goodreads.com/author/show/7377144.Audra_North,3.84,96,https://goodreads.com/book/show/35285702-midlife-crisis
,,,,,
