https://www.goodreads.com/list/show/96282._ReadPOC_List_of_Romance_Books_by_Authors_of_Color,,,,,
title,author,author_url,rating,voters_count,url
,,,,,
Unfounded Loyalty: An In Depth Look Into The Love Affair Between Blacks And Democrats,Wayne Perryman,https://www.goodreads.com/author/show/488207.Wayne_Perryman,4.09,22,https://goodreads.com/book/show/964888.Unfounded_Loyalty
,,,,,
Sister Outsider: Essays and Speeches,Audre Lorde,https://www.goodreads.com/author/show/18486.Audre_Lorde,4.51,15496,https://goodreads.com/book/show/32951.Sister_Outsider
,,,,,
Shooting Kabul,N.H. Senzai,https://www.goodreads.com/author/show/3038019.N_H_Senzai,3.94,4602,https://goodreads.com/book/show/7788379-shooting-kabul
,,,,,
"Imago (Xenogenesis, #3)",Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.19,11149,https://goodreads.com/book/show/15844642-imago
,,,,,
Novel Without a Name,Dương Thu Hương,https://www.goodreads.com/author/show/4422741.D_ng_Thu_H_ng,3.79,998,https://goodreads.com/book/show/229001.Novel_Without_a_Name
,,,,,
"Unwind (Unwind, #1)",Neal Shusterman,https://www.goodreads.com/author/show/19564.Neal_Shusterman,4.18,185989,https://goodreads.com/book/show/6571974-unwind
,,,,,
Rebellion Book II: Book of Soung,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,4.27,15,https://goodreads.com/book/show/43797196-rebellion-book-ii
,,,,,
How to Live Safely in a Science Fictional Universe,Charles Yu,https://www.goodreads.com/author/show/221608.Charles_Yu,3.39,12950,https://goodreads.com/book/show/9902193-how-to-live-safely-in-a-science-fictional-universe
,,,,,
Ten Things I Hate About Me,Randa Abdel-Fattah,https://www.goodreads.com/author/show/45465.Randa_Abdel_Fattah,3.6,3708,https://goodreads.com/book/show/1035021.Ten_Things_I_Hate_About_Me
,,,,,
The Travelling Cat Chronicles,Hiro Arikawa,https://www.goodreads.com/author/show/4823030.Hiro_Arikawa,4.28,22135,https://goodreads.com/book/show/34211805-the-travelling-cat-chronicles
,,,,,
Sacred Sex,Tony Evans,https://www.goodreads.com/author/show/2411.Tony_Evans,4.07,58,https://goodreads.com/book/show/16043665-sacred-sex
,,,,,
The Sacred Hoop: Recovering the Feminine in American Indian Traditions,Paula Gunn Allen,https://www.goodreads.com/author/show/64923.Paula_Gunn_Allen,4.05,624,https://goodreads.com/book/show/112217.The_Sacred_Hoop
,,,,,
Tilting Our Plates to Catch the Light,Cyril Wong,https://www.goodreads.com/author/show/187415.Cyril_Wong,4.22,153,https://goodreads.com/book/show/6523549-tilting-our-plates-to-catch-the-light
,,,,,
Black Victorians/Black Victoriana,Gretchen Holbrook Gerzina,https://www.goodreads.com/author/show/5089151.Gretchen_Holbrook_Gerzina,3.81,21,https://goodreads.com/book/show/786948.Black_Victorians_Black_Victoriana
,,,,,
Pride,Ibi Zoboi,https://www.goodreads.com/author/show/5241080.Ibi_Zoboi,3.76,14949,https://goodreads.com/book/show/35068632-pride
,,,,,
"The Twelve Kingdoms: Sea of Shadow (The Twelve Kingdoms, #1)",Fuyumi Ono,https://www.goodreads.com/author/show/8538.Fuyumi_Ono,4.2,2616,https://goodreads.com/book/show/13737.The_Twelve_Kingdoms
,,,,,
Future Home of the Living God,Louise Erdrich,https://www.goodreads.com/author/show/9388.Louise_Erdrich,3.54,17820,https://goodreads.com/book/show/34217599-future-home-of-the-living-god
,,,,,
Heart Berries,Terese Marie Mailhot,https://www.goodreads.com/author/show/17060663.Terese_Marie_Mailhot,3.84,15317,https://goodreads.com/book/show/35840657-heart-berries
,,,,,
Love,Matt de la Pena,https://www.goodreads.com/author/show/204966.Matt_de_la_Pena,4.26,4500,https://goodreads.com/book/show/35356379-love
,,,,,
Coretta Scott,Ntozake Shange,https://www.goodreads.com/author/show/32677.Ntozake_Shange,4.22,1028,https://goodreads.com/book/show/3626273-coretta-scott
,,,,,
Autobiography of Yukichi Fukuzawa,Yukichi Fukuzawa,https://www.goodreads.com/author/show/740503.Yukichi_Fukuzawa,3.98,427,https://goodreads.com/book/show/1596229.Autobiography_of_Yukichi_Fukuzawa
,,,,,
Sultana's Dream,Rokeya Sakhawat Hossain,https://www.goodreads.com/author/show/148459.Rokeya_Sakhawat_Hossain,3.82,1068,https://goodreads.com/book/show/948061.Sultana_s_Dream
,,,,,
Sadako and the Thousand Paper Cranes,Eleanor Coerr,https://www.goodreads.com/author/show/25526.Eleanor_Coerr,4.12,20579,https://goodreads.com/book/show/181077.Sadako_and_the_Thousand_Paper_Cranes
,,,,,
"A Spy in the House (The Agency, #1)",Y.S. Lee,https://www.goodreads.com/author/show/2868833.Y_S_Lee,3.78,13853,https://goodreads.com/book/show/6698199-a-spy-in-the-house
,,,,,
美少女戦士セーラームーン新装版 1 [Bishōjo Senshi Sailor Moon Shinsōban 1],Naoko Takeuchi,https://www.goodreads.com/author/show/117369.Naoko_Takeuchi,4.29,27900,https://goodreads.com/book/show/1429082._1_Bish_jo_Senshi_Sailor_Moon_Shins_ban_1_
,,,,,
An Era of Darkness: The British Empire in India,Shashi Tharoor,https://www.goodreads.com/author/show/17287.Shashi_Tharoor,4.16,6325,https://goodreads.com/book/show/32618967-an-era-of-darkness
,,,,,
The Emissary,Yōko Tawada,https://www.goodreads.com/author/show/92441.Y_ko_Tawada,3.53,4148,https://goodreads.com/book/show/35407631-the-emissary
,,,,,
"Boxers (Boxers & Saints, #1)",Gene Luen Yang,https://www.goodreads.com/author/show/68959.Gene_Luen_Yang,3.88,14920,https://goodreads.com/book/show/17210470-boxers
,,,,,
"The Governess Affair (Brothers Sinister, #0.5)",Courtney Milan,https://www.goodreads.com/author/show/2906892.Courtney_Milan,3.85,14434,https://goodreads.com/book/show/13190596-the-governess-affair
,,,,,
A Foreigner Carrying in the Crook of His Arm a Tiny Bomb,Amitava Kumar,https://www.goodreads.com/author/show/202835.Amitava_Kumar,3.98,56,https://goodreads.com/book/show/8389264-a-foreigner-carrying-in-the-crook-of-his-arm-a-tiny-bomb
,,,,,
All Our Wild Wonder,Sarah Kay,https://www.goodreads.com/author/show/11377.Sarah_Kay,4.46,256,https://goodreads.com/book/show/36204281-all-our-wild-wonder
,,,,,
Ghosts in the House!,Kazuno Kohara,https://www.goodreads.com/author/show/1412518.Kazuno_Kohara,4.03,1585,https://goodreads.com/book/show/3342821-ghosts-in-the-house
,,,,,
"Love, Hate & Other Filters",Samira Ahmed,https://www.goodreads.com/author/show/8345582.Samira_Ahmed,3.8,10482,https://goodreads.com/book/show/31207017-love-hate-other-filters
,,,,,
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,https://www.goodreads.com/author/show/16642745.Tomi_Adeyemi,4.14,130670,https://goodreads.com/book/show/34728667-children-of-blood-and-bone
,,,,,
"A Bollywood Affair (Bollywood, #1)",Sonali Dev,https://www.goodreads.com/author/show/7025918.Sonali_Dev,3.71,5630,https://goodreads.com/book/show/17707787-a-bollywood-affair
,,,,,
We'll Never Be Apart,Emiko Jean,https://www.goodreads.com/author/show/8178238.Emiko_Jean,3.87,2464,https://goodreads.com/book/show/22010129-we-ll-never-be-apart
,,,,,
Bloodchild and Other Stories,Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.33,12412,https://goodreads.com/book/show/60930.Bloodchild_and_Other_Stories
,,,,,
